	sequence_id	cluster_id
0	AP006764.1	Catostomoidei
1	NC_013071.1	Catostomoidei
2	OR002147.1	Catostomoidei
3	OL547378.1	Catostomoidei
4	OL547387.1	Catostomoidei
5	OL825616.1	Catostomoidei
6	OM736859.1	Catostomoidei
7	NC_026528.1	Catostomoidei
8	MT501372.1	Catostomoidei
9	NC_054264.1	Catostomoidei
10	KP013114.1	Catostomoidei
11	OK623678.1	Catostomoidei
12	NC_066953.1	Catostomoidei
13	OR552053.1	Catostomoidei
14	NC_054258.1	Catostomoidei
15	OL825615.1	Catostomoidei
16	OL825613.1	Catostomoidei
17	MG570411.1	Catostomoidei
18	AB126083.1	Catostomoidei
19	MT501363.1	Catostomoidei
20	OM736790.1	Catostomoidei
21	AP009317.1	Catostomoidei
22	OK623680.1	Catostomoidei
23	OL806596.1	Catostomoidei
24	OK323226.1	Catostomoidei
25	OL547376.1	Catostomoidei
26	OR552062.1	Catostomoidei
27	OM736819.1	Catostomoidei
28	AP011228.1	Catostomoidei
29	OL339415.1	Catostomoidei
30	MT501371.1	Catostomoidei
31	NC_008676.1	Catostomoidei
32	AY366087.1	Catostomoidei
33	OL339417.1	Catostomoidei
34	AB242167.1	Catostomoidei
35	AP009316.1	Catostomoidei
36	OK945933.1	Catostomoidei
37	NC_054263.1	Catostomoidei
38	OL339408.1	Catostomoidei
39	MT501374.1	Catostomoidei
40	OM736793.1	Catostomoidei
41	OL457425.1	Catostomoidei
42	NC_008113.1	Catostomoidei
43	OK637259.1	Catostomoidei
44	NC_037013.1	Catostomoidei
45	OL339405.1	Catostomoidei
46	OL693870.1	Catostomoidei
47	OL547380.1	Catostomoidei
48	NC_066944.1	Catostomoidei
49	OM736789.1	Catostomoidei
50	OR031103.1	Catostomoidei
51	AB223007.1	Catostomoidei
52	NC_005257.1	Catostomoidei
53	OK637256.1	Catostomoidei
54	OL339389.1	Catostomoidei
55	OL457401.1	Catostomoidei
56	OM736792.1	Catostomoidei
57	OL477726.1	Catostomoidei
58	MG570424.1	Catostomoidei
59	OL339411.1	Catostomoidei
60	KP306894.1	Catostomoidei
61	MW856858.1	Catostomoidei
62	OL339418.1	Catostomoidei
63	NC_013064.1	Catostomoidei
64	OK945932.1	Catostomoidei
65	OK323227.1	Catostomoidei
66	MZ907583.1	Catostomoidei
67	OK945928.1	Catostomoidei
68	NC_066956.1	Catostomoidei
69	MW856894.1	Catostomoidei
70	AB242166.1	Catostomoidei
71	MW856876.1	Catostomoidei
72	OL339388.1	Catostomoidei
73	OK623661.1	Catostomoidei
74	NC_056404.1	Catostomoidei
75	OM736791.1	Catostomoidei
76	OM736794.1	Catostomoidei
77	MG570410.1	Catostomoidei
78	OL339416.1	Catostomoidei
79	NC_008647.1	Catostomoidei
80	OL339386.1	Catostomoidei
81	NC_084082.1	Catostomoidei
82	MG570442.1	Catostomoidei
83	MW856859.1	Catostomoidei
84	NC_066945.1	Catostomoidei
85	MW856880.1	Catostomoidei
86	NC_008674.1	Catostomoidei
87	MG570423.1	Catostomoidei
88	AY526869.1	Catostomoidei
89	OK945935.1	Catostomoidei
90	MT501388.1	Catostomoidei
91	MT501389.1	Catostomoidei
92	AP006763.1	Catostomoidei
93	OM736818.1	Catostomoidei
94	DQ536432.1	Catostomoidei
95	OK945929.1	Catostomoidei
96	OR002149.1	Catostomoidei
97	MT501373.1	Catostomoidei
98	OM736787.1	Catostomoidei
99	OL471036.1	Catostomoidei
100	OK623681.1	Catostomoidei
101	NC_013074.1	Catostomoidei
102	OK583902.1	Catostomoidei
103	NC_066948.1	Catostomoidei
104	OL547377.1	Catostomoidei
105	OK458557.1	Catostomoidei
106	NC_031633.1	Catostomoidei
107	MT501364.1	Catostomoidei
108	OL547388.1	Catostomoidei
109	MT501370.1	Catostomoidei
110	MH324427.1	Catostomoidei
111	NC_066950.1	Catostomoidei
112	OL547383.1	Catostomoidei
113	MZ907582.1	Catostomoidei
114	OK393698.1	Catostomoidei
115	OK945947.1	Catostomoidei
116	OL547382.1	Catostomoidei
117	OL825619.1	Catostomoidei
118	OL547381.1	Catostomoidei
119	OK945930.1	Catostomoidei
120	OL547384.1	Catostomoidei
121	OL339406.1	Catostomoidei
122	OL339387.1	Catostomoidei
123	MG570430.1	Catostomoidei
124	NC_066947.1	Catostomoidei
125	OM736785.1	Catostomoidei
126	NC_008645.1	Catostomoidei
127	OL547386.1	Catostomoidei
128	OK637253.1	Catostomoidei
129	OR031104.1	Catostomoidei
130	OL471039.1	Catostomoidei
131	MT501387.1	Catostomoidei
132	OK945931.1	Catostomoidei
133	OL339412.1	Catostomoidei
134	OL547379.1	Catostomoidei
135	MT501362.1	Catostomoidei
136	NC_010234.1	Catostomoidei
137	NC_066946.1	Catostomoidei
138	AB127394.1	Catostomoidei
139	OL477722.1	Catostomoidei
140	OL547385.1	Catostomoidei
141	NC_066954.1	Catostomoidei
142	OR552056.1	Catostomoidei
143	MT501375.1	Catostomoidei
144	NC_006401.1	Catostomoidei
145	EU265776.1	Catostomoidei
146	OM736812.1	Catostomoidei
147	MH324426.1	Catostomoidei
148	AB242169.1	Catostomoidei
149	OM736788.1	Catostomoidei
150	AB126082.1	Catostomoidei
151	NC_084084.1	Catostomoidei
152	AP011227.1	Catostomoidei
153	OM736815.1	Catostomoidei
154	NC_066940.1	Catostomoidei
155	OM736822.1	Catostomoidei
156	MG570436.1	Catostomoidei
157	MT501386.1	Catostomoidei
158	AP011435.1	Catostomoidei
159	AY986503.1	Catostomoidei
160	MG570441.1	Catostomoidei
161	OL339413.1	Catostomoidei
162	OM736786.1	Catostomoidei
163	OK945934.1	Catostomoidei
164	OL457404.1	Catostomoidei
165	NC_066938.1	Catostomoidei
166	AP013299.1	Cobitoidei
167	MT667249.1	Cobitoidei
168	AP011305.1	Cobitoidei
169	KY379151.1	Cobitoidei
170	NC_031576.1	Cobitoidei
171	MW548261.1	Cobitoidei
172	KT213598.1	Cobitoidei
173	KM393222.1	Cobitoidei
174	NC_026714.1	Cobitoidei
175	NC_031636.1	Cobitoidei
176	NC_058282.1	Cobitoidei
177	AP013334.1	Cobitoidei
178	NC_058284.1	Cobitoidei
179	MK135435.1	Cobitoidei
180	KT943751.1	Cobitoidei
181	KP979711.1	Cobitoidei
182	MT992551.1	Cobitoidei
183	AP013303.1	Cobitoidei
184	MT157616.1	Cobitoidei
185	KJ739868.1	Cobitoidei
186	KC881110.1	Cobitoidei
187	MZ853161.1	Cobitoidei
188	MH285822.1	Cobitoidei
189	AB242168.1	Cobitoidei
190	NC_045225.1	Cobitoidei
191	MW532082.1	Cobitoidei
192	AP012132.1	Cobitoidei
193	ON116521.1	Cobitoidei
194	NC_065474.1	Cobitoidei
195	KT213605.1	Cobitoidei
196	NC_073133.1	Cobitoidei
197	NC_031594.1	Cobitoidei
198	NC_008678.1	Cobitoidei
199	NC_024609.1	Cobitoidei
200	ON116506.1	Cobitoidei
201	MN867911.1	Cobitoidei
202	MT992550.1	Cobitoidei
203	KJ830772.1	Cobitoidei
204	NC_057493.1	Cobitoidei
205	OQ559481.1	Cobitoidei
206	AP013308.1	Cobitoidei
207	NC_030335.1	Cobitoidei
208	KT213596.1	Cobitoidei
209	MG738689.1	Cobitoidei
210	MH285817.1	Cobitoidei
211	NC_068240.1	Cobitoidei
212	AP011445.1	Cobitoidei
213	OQ024378.1	Cobitoidei
214	AP011297.1	Cobitoidei
215	AP013301.1	Cobitoidei
216	AP013314.1	Cobitoidei
217	NC_068249.1	Cobitoidei
218	AP013304.1	Cobitoidei
219	KT213584.1	Cobitoidei
220	NC_030634.1	Cobitoidei
221	AP012127.1	Cobitoidei
222	MN116750.1	Cobitoidei
223	NC_063102.1	Cobitoidei
224	NC_035145.1	Cobitoidei
225	AP011308.1	Cobitoidei
226	OQ603602.1	Cobitoidei
227	AP011348.1	Cobitoidei
228	KJ027397.1	Cobitoidei
229	MG938589.1	Cobitoidei
230	KY307847.1	Cobitoidei
231	LC706574.1	Cobitoidei
232	NC_058283.1	Cobitoidei
233	KY419201.1	Cobitoidei
234	NC_008669.1	Cobitoidei
235	NC_073142.1	Cobitoidei
236	AP011291.1	Cobitoidei
237	KP297875.1	Cobitoidei
238	ON116515.1	Cobitoidei
239	NC_027662.1	Cobitoidei
240	AP011346.1	Cobitoidei
241	NC_001727.1	Cobitoidei
242	LC706580.1	Cobitoidei
243	KR349175.1	Cobitoidei
244	KJ939363.1	Cobitoidei
245	AP013311.1	Cobitoidei
246	NC_008677.1	Cobitoidei
247	NC_030322.1	Cobitoidei
248	JX155733.1	Cobitoidei
249	NC_056365.1	Cobitoidei
250	NC_073146.1	Cobitoidei
251	KY131962.1	Cobitoidei
252	LC532167.1	Cobitoidei
253	ON116495.1	Cobitoidei
254	KC762740.1	Cobitoidei
255	ON116523.1	Cobitoidei
256	ON148334.1	Cobitoidei
257	AP012136.1	Cobitoidei
258	LC706585.1	Cobitoidei
