	sequence_id	cluster_id
0	NC_026549.1	Acrossocheilinae
1	NC_034919.1	Acrossocheilinae
2	MT449680.1	Acrossocheilinae
3	MW532081.1	Acrossocheilinae
4	NC_018043.1	Acrossocheilinae
5	NC_023799.1	Acrossocheilinae
6	NC_026973.1	Acrossocheilinae
7	KJ817184.1	Acrossocheilinae
8	NC_028527.1	Acrossocheilinae
9	AP011251.1	Acrossocheilinae
10	NC_034918.1	Acrossocheilinae
11	JX646870.1	Acrossocheilinae
12	KF626377.1	Acrossocheilinae
13	NC_019630.1	Acrossocheilinae
14	ON920699.1	Acrossocheilinae
15	KP274878.1	Acrossocheilinae
16	KF113879.1	Acrossocheilinae
17	NC_021473.1	Acrossocheilinae
18	MG523272.1	Acrossocheilinae
19	MH998249.1	Acrossocheilinae
20	AP009303.1	Acrossocheilinae
21	MT258556.1	Acrossocheilinae
22	NC_020145.1	Acrossocheilinae
23	JQ343982.1	Acrossocheilinae
24	KC896762.1	Acrossocheilinae
25	MN266873.1	Acrossocheilinae
26	KF021233.1	Acrossocheilinae
27	AP012062.1	Acrossocheilinae
28	NC_066040.1	Acrossocheilinae
29	KY131975.1	Acrossocheilinae
30	NC_029453.1	Acrossocheilinae
31	KT715479.1	Acrossocheilinae
32	KC791686.1	Acrossocheilinae
33	NC_022183.1	Acrossocheilinae
34	KF781289.1	Acrossocheilinae
35	NC_031529.1	Acrossocheilinae
36	KF113878.1	Acrossocheilinae
37	KY131976.1	Acrossocheilinae
38	NC_031606.1	Acrossocheilinae
39	NC_034917.1	Acrossocheilinae
40	NC_021644.1	Acrossocheilinae
41	MG878098.1	Acrossocheilinae
42	NC_022145.1	Acrossocheilinae
43	MN395748.1	Acrossocheilinae
44	NC_024844.1	Acrossocheilinae
45	NC_047455.1	Acrossocheilinae
46	KJ909660.1	Acrossocheilinae
47	NC_031603.1	Acrossocheilinae
48	MH924834.1	Acrossocheilinae
49	KT438512.1	Acrossocheilinae
50	KY131977.1	Acrossocheilinae
51	KT428616.1	Acrossocheilinae
52	KT367805.1	Acrossocheilinae
53	NC_022184.1	Acrossocheilinae
54	NC_022869.1	Acrossocheilinae
55	KC788747.1	Acrossocheilinae
56	AP017365.1	Cyprininae
57	NC_015142.1	Cyprininae
58	GU086397.1	Cyprininae
59	NC_063103.1	Cyprininae
60	NC_063975.1	Cyprininae
61	AP011236.1	Cyprininae
62	NC_001606.1	Cyprininae
63	AP011239.1	Cyprininae
64	MZ921933.1	Cyprininae
65	NC_060737.1	Cyprininae
66	KF932266.1	Cyprininae
67	OQ319607.1	Cyprininae
68	NC_044072.1	Cyprininae
69	MT361976.1	Cyprininae
70	OL457418.1	Cyprininae
71	MG021442.1	Cyprininae
72	KU668568.1	Cyprininae
73	MW969691.1	Cyprininae
74	NC_025770.1	Cyprininae
75	MN229746.1	Cyprininae
76	MZ781221.1	Cyprininae
77	NC_011192.1	Cyprininae
78	KX602324.1	Cyprininae
79	OL699932.1	Cyprininae
80	JF496197.1	Cyprininae
81	JN105353.1	Cyprininae
82	KU146529.1	Cyprininae
83	NC_060848.1	Cyprininae
84	KU668575.1	Cyprininae
85	KF147851.1	Cyprininae
86	NC_019995.1	Cyprininae
87	MF443758.1	Cyprininae
88	GU138989.1	Cyprininae
89	OL840285.1	Cyprininae
90	KM461699.1	Cyprininae
91	CM010491.1	Cyprininae
92	KJ476998.1	Cyprininae
93	OK505604.1	Cyprininae
94	KX778473.1	Cyprininae
95	EU082030.1	Cyprininae
96	KU373073.1	Cyprininae
97	NC_006291.1	Cyprininae
98	JN105352.1	Cyprininae
99	MN841761.1	Cyprininae
100	OQ564392.1	Cyprininae
101	GU589570.1	Cyprininae
102	OQ871459.1	Cyprininae
103	MW548264.1	Cyprininae
104	MW411665.1	Cyprininae
105	KP993139.1	Cyprininae
106	NC_063104.1	Cyprininae
107	NC_010768.1	Cyprininae
108	KU896991.1	Cyprininae
109	GU086396.1	Cyprininae
110	AY714387.1	Cyprininae
111	KX528071.1	Cyprininae
112	MK387703.1	Labeoninae
113	ON729307.1	Labeoninae
114	AP011201.1	Labeoninae
115	JQ838172.1	Labeoninae
116	AP011204.1	Labeoninae
117	MT136763.1	Labeoninae
118	NC_031623.1	Labeoninae
119	NC_024578.1	Labeoninae
120	NC_031624.1	Labeoninae
121	NC_025947.1	Labeoninae
122	AP013316.1	Labeoninae
123	AP012150.1	Labeoninae
124	KY404235.1	Labeoninae
125	JQ231111.1	Labeoninae
126	AP013315.1	Labeoninae
127	KF752477.1	Labeoninae
128	MZ504855.1	Labeoninae
129	JQ087872.1	Labeoninae
130	AP012147.1	Labeoninae
131	NC_015193.1	Labeoninae
132	NC_028426.1	Labeoninae
133	JQ838173.1	Labeoninae
134	MG999836.1	Labeoninae
135	MN830943.1	Labeoninae
136	NC_037408.1	Labeoninae
137	KT601639.1	Labeoninae
138	NC_067877.1	Labeoninae
139	NC_033962.1	Labeoninae
140	NC_031608.1	Labeoninae
141	AP011328.1	Labeoninae
142	NC_031607.1	Labeoninae
143	KM255666.1	Labeoninae
144	AP013333.1	Labeoninae
145	OK375462.1	Labeoninae
146	AP011391.1	Labeoninae
147	NC_050978.1	Labeoninae
148	OL826795.1	Labeoninae
149	OP022192.1	Labeoninae
150	AP012154.1	Labeoninae
151	MN862482.1	Labeoninae
152	MF958973.1	Labeoninae
153	NC_025562.1	Labeoninae
154	KX670381.1	Labeoninae
155	NC_082312.1	Labeoninae
156	AP012151.1	Labeoninae
157	AP013322.1	Labeoninae
158	NC_033961.1	Labeoninae
159	KP025676.1	Labeoninae
160	AP011197.1	Labeoninae
161	AP013332.1	Labeoninae
162	NC_024294.1	Labeoninae
163	JQ231112.1	Labeoninae
164	NC_021385.1	Labeoninae
165	AP011409.1	Labeoninae
166	NC_022950.1	Labeoninae
167	MN229748.1	Labeoninae
168	NC_031586.1	Poropuntiinae
169	AP011375.1	Poropuntiinae
170	NC_062732.1	Poropuntiinae
171	AP011192.1	Poropuntiinae
172	KU233186.2	Poropuntiinae
173	NC_031524.1	Poropuntiinae
174	AP011367.1	Poropuntiinae
175	AP011185.1	Poropuntiinae
176	NC_031557.1	Poropuntiinae
177	AP011181.1	Poropuntiinae
178	NC_031604.1	Poropuntiinae
179	AP011254.1	Poropuntiinae
180	NC_024274.1	Poropuntiinae
181	AP011247.1	Poropuntiinae
182	AB238966.1	Poropuntiinae
183	AP011312.1	Poropuntiinae
184	NC_031554.1	Poropuntiinae
185	NC_031589.1	Poropuntiinae
186	OM617721.1	Poropuntiinae
187	KF697091.1	Poropuntiinae
188	AP011325.1	Poropuntiinae
189	AP011352.1	Poropuntiinae
190	JQ700301.1	Poropuntiinae
191	NC_023231.1	Poropuntiinae
192	AP011370.1	Poropuntiinae
193	AP011321.1	Poropuntiinae
194	NC_031618.1	Poropuntiinae
195	AP011188.1	Poropuntiinae
196	AP011383.1	Poropuntiinae
197	KU498040.2	Poropuntiinae
198	AP011249.1	Poropuntiinae
199	NC_031591.1	Poropuntiinae
200	NC_031621.1	Poropuntiinae
201	MN723896.1	Poropuntiinae
202	NC_031519.1	Poropuntiinae
203	NC_031620.1	Poropuntiinae
204	AP011250.1	Poropuntiinae
205	NC_031526.1	Poropuntiinae
206	AP011248.1	Poropuntiinae
207	NC_031615.1	Poropuntiinae
208	AP011179.1	Poropuntiinae
209	AP011320.1	Poropuntiinae
210	NC_008655.1	Poropuntiinae
211	NC_031590.1	Poropuntiinae
212	NC_031521.1	Poropuntiinae
213	NC_023106.1	Poropuntiinae
214	AP011310.1	Poropuntiinae
215	AP011243.1	Poropuntiinae
216	KJ573467.1	Poropuntiinae
217	NC_031552.1	Poropuntiinae
218	NC_031612.1	Poropuntiinae
219	AP011317.1	Poropuntiinae
220	AP011380.1	Poropuntiinae
221	AP011382.1	Poropuntiinae
222	NC_031553.1	Poropuntiinae
223	AP011371.1	Poropuntiinae
224	KM288695.1	Schizopygopsinae
225	JQ004278.1	Schizopygopsinae
226	NC_025650.1	Schizopygopsinae
227	MN864784.1	Schizopygopsinae
228	MN871986.1	Schizopygopsinae
229	NC_032398.1	Schizopygopsinae
230	KY420179.1	Schizopygopsinae
231	NC_047411.1	Schizopygopsinae
232	KM659026.1	Schizopygopsinae
233	KM879226.1	Schizopygopsinae
234	MN864786.1	Schizopygopsinae
235	KF597526.1	Schizopygopsinae
236	KC558497.1	Schizopygopsinae
237	NC_061707.1	Schizopygopsinae
238	NC_031813.1	Schizopygopsinae
239	NC_033403.1	Schizopygopsinae
240	KM268050.1	Schizopygopsinae
241	KC558498.1	Schizopygopsinae
242	NC_045935.1	Schizopygopsinae
243	MN857243.1	Schizopygopsinae
244	KM879224.1	Schizopygopsinae
245	KM288696.1	Schizopygopsinae
246	MN864785.1	Schizopygopsinae
247	KY511123.1	Schizopygopsinae
248	KJ789858.1	Schizopygopsinae
249	KF976395.1	Schizopygopsinae
250	NC_028544.1	Schizopygopsinae
251	MW924117.1	Schizopygopsinae
252	KP316067.1	Schizopygopsinae
253	MF598300.1	Schizopygopsinae
254	JQ004279.1	Schizopygopsinae
255	KY511122.1	Schizopygopsinae
256	KU896808.1	Schizopygopsinae
257	KP641340.1	Schizopygopsinae
258	KF528985.1	Schizopygopsinae
259	KX443413.1	Schizopygopsinae
260	KP053957.1	Schizopygopsinae
261	NC_019604.1	Schizopygopsinae
262	NC_029171.1	Schizopygopsinae
263	NC_034230.1	Schizopygopsinae
264	MF459673.1	Schizopygopsinae
265	KT270484.1	Schizopygopsinae
266	NC_008661.1	Schizopygopsinae
267	NC_021420.1	Schizopygopsinae
268	KX688545.1	Schizopygopsinae
269	KY406745.1	Schizopygopsinae
270	KJ913780.1	Schizopygopsinae
271	NC_047410.1	Schizopygopsinae
272	KC351895.1	Schizopygopsinae
273	MN413609.1	Schizopygopsinae
274	NC_019605.1	Schizopygopsinae
275	NC_021421.1	Schizopygopsinae
276	MN422094.1	Schizopygopsinae
277	KP090219.1	Schizopygopsinae
278	KY012741.1	Schizopygopsinae
279	MN864783.1	Schizopygopsinae
280	KR780749.1	Schizothoracinae
281	KU868077.1	Schizothoracinae
282	NC_027670.1	Schizothoracinae
283	MG280782.1	Schizothoracinae
284	NC_023979.1	Schizothoracinae
285	NC_020339.1	Schizothoracinae
286	KT946652.1	Schizothoracinae
287	NC_021448.1	Schizothoracinae
288	NC_037183.1	Schizothoracinae
289	KU868078.1	Schizothoracinae
290	JX316026.1	Schizothoracinae
291	NC_035994.1	Schizothoracinae
292	NC_056907.1	Schizothoracinae
293	KT184924.1	Schizothoracinae
294	OR416862.1	Schizothoracinae
295	NC_036746.1	Schizothoracinae
296	NC_022855.1	Schizothoracinae
297	NC_024833.1	Schizothoracinae
298	KY436760.1	Schizothoracinae
299	AP011208.1	Schizothoracinae
300	AP011412.1	Schizothoracinae
301	NC_023365.1	Schizothoracinae
302	MH094667.1	Schizothoracinae
303	NC_046462.1	Schizothoracinae
304	KM243919.1	Schizothoracinae
305	MK861919.1	Schizothoracinae
306	OR812523.1	Schizothoracinae
307	MK105912.1	Schizothoracinae
308	NC_020606.1	Schizothoracinae
309	KF752480.1	Schizothoracinae
310	NC_018601.1	Schizothoracinae
311	KC292197.1	Schizothoracinae
312	MW748176.1	Schizothoracinae
313	KJ577589.1	Schizothoracinae
314	MT527960.1	Schizothoracinae
315	MG171194.1	Schizothoracinae
316	KC513574.1	Schizothoracinae
317	MW786773.1	Schizothoracinae
318	MW191514.1	Schizothoracinae
319	KF600712.1	Schizothoracinae
320	KF600713.1	Schizothoracinae
321	KF928796.1	Schizothoracinae
322	NC_027162.1	Schizothoracinae
323	NC_031803.1	Schizothoracinae
324	OQ730545.1	Schizothoracinae
325	NC_017873.1	Schizothoracinae
326	MF688995.1	Schizothoracinae
327	NC_020360.1	Schizothoracinae
328	KC513575.1	Schizothoracinae
329	NC_026205.1	Schizothoracinae
330	AP011413.1	Schizothoracinae
331	KP143725.1	Schizothoracinae
332	KT223584.1	Schizothoracinae
333	KC790369.1	Schizothoracinae
334	NC_020781.1	Schizothoracinae
335	KT944287.1	Schizothoracinae
336	NC_031560.1	Smiliogastrinae
337	NC_036232.1	Smiliogastrinae
338	AP011309.1	Smiliogastrinae
339	NC_033915.1	Smiliogastrinae
340	NC_031530.1	Smiliogastrinae
341	NC_034755.1	Smiliogastrinae
342	AB239600.1	Smiliogastrinae
343	KF670818.1	Smiliogastrinae
344	NC_010110.1	Smiliogastrinae
345	AP011448.1	Smiliogastrinae
346	NC_031616.1	Smiliogastrinae
347	AP011194.1	Smiliogastrinae
348	NC_008658.1	Smiliogastrinae
349	NC_021973.1	Smiliogastrinae
350	KC113210.1	Smiliogastrinae
351	AP011407.1	Smiliogastrinae
352	AP011262.1	Smiliogastrinae
353	MZ364158.1	Smiliogastrinae
354	OP785085.1	Smiliogastrinae
355	NC_022856.1	Smiliogastrinae
356	AP011261.1	Smiliogastrinae
357	AP011189.1	Smiliogastrinae
358	NC_031614.1	Smiliogastrinae
359	NC_029149.1	Smiliogastrinae
360	AP013336.1	Smiliogastrinae
361	AP009314.1	Smiliogastrinae
362	MK749691.1	Smiliogastrinae
363	NC_031588.1	Smiliogastrinae
364	NC_018566.1	Smiliogastrinae
365	AB238969.1	Smiliogastrinae
366	AP012065.1	Smiliogastrinae
367	NC_066910.1	Smiliogastrinae
368	PP059109.1	Smiliogastrinae
369	AP011379.1	Smiliogastrinae
370	MK456608.1	Smiliogastrinae
371	ON864408.1	Smiliogastrinae
372	NC_069976.1	Smiliogastrinae
373	AP011408.1	Smiliogastrinae
374	OP819561.1	Smiliogastrinae
375	NC_031619.1	Smiliogastrinae
376	NC_008666.1	Smiliogastrinae
377	AP011366.1	Smiliogastrinae
378	AP011369.1	Smiliogastrinae
379	NC_031550.1	Smiliogastrinae
380	KU886061.1	Smiliogastrinae
381	AP011362.1	Smiliogastrinae
382	AB863607.1	Smiliogastrinae
383	NC_031610.1	Smiliogastrinae
384	AP011246.1	Smiliogastrinae
385	NC_020096.1	Smiliogastrinae
386	AP011378.1	Smiliogastrinae
387	AP011186.1	Smiliogastrinae
388	KC113209.1	Smiliogastrinae
389	AP012061.1	Smiliogastrinae
390	NC_031559.1	Smiliogastrinae
391	NC_072568.1	Smiliogastrinae
392	NC_027498.1	Torinae
393	MW471071.1	Torinae
394	NC_031531.1	Torinae
395	NC_031555.1	Torinae
396	NC_021755.1	Torinae
397	KF305826.1	Torinae
398	NC_022702.1	Torinae
399	MN378521.1	Torinae
400	KM668070.1	Torinae
401	KX950700.1	Torinae
402	OM203155.1	Torinae
403	KU870466.1	Torinae
404	KJ880044.1	Torinae
405	MN598560.1	Torinae
406	NC_027617.1	Torinae
407	MW471072.1	Torinae
408	MW471073.1	Torinae
409	AP011314.1	Torinae
410	NC_062665.1	Torinae
411	NC_056296.1	Torinae
412	AP011313.1	Torinae
413	MW471077.1	Torinae
414	KR868706.1	Torinae
415	NC_063136.1	Torinae
416	OR685011.1	Torinae
417	AP011191.1	Torinae
418	NC_036511.1	Torinae
419	KX177967.1	Torinae
420	AP011326.1	Torinae
421	NC_033917.1	Torinae
422	MW471076.1	Torinae
423	MW471069.1	Torinae
424	AP012066.1	Torinae
425	AP011252.1	Torinae
426	NC_036512.1	Torinae
