	sequence_id	cluster_id
0	1.NL.2017.D07.ON630775	1
1	1.BE.2017.1b_20.OR498008	1
2	1.BE.2017.1b_79.OR498067	1
3	1.BE.2008.1a_3.OR497879	1
4	1.GB.2017.E13.ON630800	1
5	1.NL.2018.D19.ON630784	1
6	1.BE.2017.1b_81.OR498069	1
7	1.BE.2017.1a_45.OR497921	1
8	1.BE.2012.1b_6.OR497994	1
9	1.GB.2017.F12.ON630818	1
10	1.BE.2015.1a_41.OR497917	1
11	1.BE.2015.1b_68.OR498056	1
12	1.BJ.2019.Benin64.OM525888	1
13	1.BJ.2019.Benin68.OM525891	1
14	1.GB.2017.F14.ON630820	1
15	1.GB.2017.E10.ON630797	1
16	1.GB.2018.F23.ON630826	1
17	1.BE.2014.1b_49.OR498037	1
18	1.BE.2016.1a_58.OR497934	1
19	1.NL.2017.I02.ON630860	1
20	1.DE.2018.G19.ON630841	1
21	1.BE.2013.1a_62.OR497938	1
22	1.NG.2016.P19_Baseline_Nigeria.MN164858	1
23	1.NL.2018.I11.ON630864	1
24	1.CI.2016.P8_Baseline_Ivory_Coast.MN164851	1
25	1.BE.2014.1a_48.OR497924	1
26	1.FR.2012.6092012.OP894656	1
27	1.AU.2017.H23.ON630857	1
28	1.NL.2018.D18.ON630783	1
29	1.MX.2020.MXK20820.ON676559	1
30	1.BE.2009.1a_20.OR497896	1
31	1.BE.2016.1a_74.OR497950	1
32	1.DE.2017.G08.ON630833	1
33	1.NG.2017.P11_Baseline_Nigeria.MN164852	1
34	1.BJ.2016.P32_Baseline_Benin.MN164868	1
35	1.BE.2015.1b_57.OR498045	1
36	1.NG.2017.P35_Baseline_Nigeria.MN164870	1
37	1.BE.2010.1b_36.OR498024	1
38	1.BE.2013.1a_36.OR497912	1
39	1.BE.2015.1b_60.OR498048	1
40	1.BE.2015.1a_70.OR497946	1
41	1.BE.2017.1a_60.OR497936	1
42	1.GB.2018.I04.ON630862	1
43	1.BE.2015.1b_19.OR498007	1
44	1.GB.2018.E20.ON630806	1
45	1.NL.2018.D20.ON630785	1
46	1.CH.2018.E03.ON630790	1
47	1.BE.2015.1b_56.OR498044	1
48	1.BE.2014.1a_54.OR497930	1
49	1.DE.2019.H07.ON630849	1
50	1.FR.2017.19092017.OP894654	1
51	1.BE.2013.1a_30.OR497906	1
52	1.NG.2015.P1_Baseline_Nigeria.MN164843	1
53	1.NL.2019.I15.ON630867	1
54	1.BE.2015.1b_61.OR498049	1
55	1.BJ.2019.Benin26.OM525865	1
56	1.NL.2018.D15.ON630780	1
57	1.BE.2014.1b_48.OR498036	1
58	1.NG.2018.P5_Baseline_Nigeria.MN164849	1
59	1.DE.2018.I18.ON630869	1
60	1.NG.2016.P17_Baseline_Nigeria.MN164856	1
61	1.GB.2018.F24.ON630827	1
62	1.US.2019.C23.ON630768	1
63	1.ES._.GQ_isolate.AJ851228	1
64	1.AU.2017.H21.ON630856	1
65	1.GB.2018.E21.ON630807	1
66	1.BJ.2019.Benin74.OM525895	1
67	1.GB.2017.F10.ON630817	1
68	1.BE.2011.1a_27.OR497903	1
69	1.BE.2013.1b_10.OR497998	1
70	1.US.2019.C16.ON630765	1
71	1.GB.2019.F06.ON630815	1
72	1.NL.2019.E01.ON630788	1
73	1.FR.2017.26092017.OP894652	1
74	1.DE.2019.H14.ON630853	1
75	1.DE.2017.G10.ON630834	1
76	1.CN.2016.HCV089.MT184372	1
77	1.BE.2009.1a_4.OR497880	1
78	1.CA.2018.D04.ON630773	1
79	1.CH.2019.E08.ON630795	1
80	1.GB.2018.F05.ON630814	1
81	1.BE.2015.1b_58.OR498046	1
82	1.NG.2016.P17_Post_Treatment_Nigeria.MN164857	1
83	1.GB.2018.E19.ON630805	1
84	1.DE.2018.G20.ON630842	1
85	1.BE.2016.1b_70.OR498058	1
86	1.DK.2018.A106-Baseline.MZ541883	1
87	1.BE.2010.1a_9.OR497885	1
88	1.BE.2009.1a_23.OR497899	1
89	1.NZ.2019.I01.ON630859	1
90	1.BE.2010.1a_26.OR497902	1
91	1.NG.2016.P1_Post_Treatment_Nigeria.MN164844	1
92	1.BE.2014.1b_12.OR498000	1
93	1.CN.2015.HCV129.MT184371	1
94	1.GB.2018.F03.ON630812	1
95	1.BE.2015.1a_77.OR497953	1
96	1.BJ.2019.Benin93.OM525909	1
97	1.GB.2017.E15.ON630802	1
98	1.BE.2015.1b_14.OR498002	1
99	1.EG.2018.EG.MN782311	1
100	1.BE.2015.1b_62.OR498050	1
101	1.DE.2019.G24.ON630845	1
102	1.DE.2019.H12.ON630852	1
103	1.GB.2018.F16.ON630822	1
104	1.BE.2015.1a_56.OR497932	1
105	1.BE.2015.1b_55.OR498043	1
106	1.BE.2017.1b_31.OR498019	1
107	1.NG.2016.P19_Post_Treatment_Nigeria.MN164859	1
108	1.NG.2017.P13_Baseline_Nigeria.MN164854	1
109	1.NL.2018.D21.ON630786	1
110	1.BE.2015.1a_42.OR497918	1
