	sequence_id	cluster_id
0	KY586355	1
1	FJ639819	1
2	FJ024460	1
3	KC762623	1
4	KC692502	1
5	GQ199794	1
6	FJ882519	1
7	MN018334	1
8	KC762633	1
9	MF033212	1
10	JX669475	1
11	KY586516	1
12	FJ639794	1
13	KU094071	1
14	KY921902	1
15	GU131711	1
16	KY586442	1
17	MH048669	1
18	GU131771	1
19	EU482816	1
20	HQ332180	1
21	EU280167	1
22	FJ639812	1
23	FJ024483	1
24	KM403630	1
25	MH823207	1
26	FJ182036	1
27	KY586518	1
28	GQ868529	1
29	GU131890	1
30	MF033210	1
31	KF955442	1
32	EU482707	1
33	EU482591	1
34	JN054256	1
35	KY586356	1
36	KU509263	1
37	FJ639681	1
38	EU482494	1
39	KY586505	1
40	LC428056	1
41	KM403577	1
42	JN819425	1
43	MN018285	1
44	JN903580	1
45	JQ045661	1
46	JQ045644	1
47	GQ199805	1
48	MF033220	1
49	KY586393	1
50	MH891771	1
51	KC692498	1
52	EU081260	1
53	KY849742	1
54	KY849708	1
55	MN912189	1
56	KF921934	1
57	KC762638	1
58	FJ810415	1
59	EU081250	1
60	KF973458	1
61	FJ024448	1
62	FJ461330	1
63	MF033217	1
64	KF973468	1
65	MN933652	1
66	MF033260	1
67	KY496856	1
68	KP723476	1
69	GU131713	1
70	JQ045662	1
71	KJ806963	1
72	MN639764	1
73	JN093516	1
74	KF973460	1
75	MN912110	1
76	MH271402	1
77	MF033226	1
78	GU131801	1
79	KY586507	1
80	EU677167	1
81	KY586398	1
82	MN912225	1
83	FJ461325	1
84	GU131965	1
85	FJ882532	1
86	FJ898394	1
87	FJ410279	1
88	FJ898377	1
89	MN912139	1
90	GQ868505	1
91	EU482517	1
92	KY586311	1
93	KC692511	1
94	MT261952	1
95	KC692515	1
96	MF033259	1
97	HQ332182	1
98	KF955433	1
99	MN912169	1
100	FJ898408	1
101	LC428053	1
102	GQ868607	1
103	GU131982	1
104	FJ461317	1
105	KX380801	1
106	KM403586	1
