	sequence_id	cluster_id
0	MK295810.1	Lepidoptera
1	KX681479.1	Lepidoptera
2	KY996558.1	Lepidoptera
3	NC_061326.1	Lepidoptera
4	MN461479.1	Lepidoptera
5	NC_039880.1	Lepidoptera
6	NC_024283.1	Lepidoptera
7	MW006609.1	Lepidoptera
8	MW924662.1	Lepidoptera
9	NC_053274.1	Lepidoptera
10	NC_026838.1	Lepidoptera
11	MZ779034.1	Lepidoptera
12	NC_046727.1	Lepidoptera
13	MG437197.1	Lepidoptera
14	NC_056106.1	Lepidoptera
15	KX426346.1	Lepidoptera
16	MW009051.1	Lepidoptera
17	NC_062180.1	Lepidoptera
18	MK952760.1	Lepidoptera
19	GU966592.1	Lepidoptera
20	KF590553.1	Lepidoptera
21	MW751990.1	Lepidoptera
22	OK393684.1	Lepidoptera
23	NC_026864.1	Lepidoptera
24	NC_004622.2	Lepidoptera
25	MZ964412.1	Lepidoptera
26	NC_024405.1	Lepidoptera
27	NC_012893.1	Lepidoptera
28	NC_061642.1	Lepidoptera
29	OL912817.1	Lepidoptera
30	NC_014806.1	Lepidoptera
31	KF990127.1	Lepidoptera
32	KY569553.1	Lepidoptera
33	MN103530.1	Lepidoptera
34	KU366707.1	Lepidoptera
35	KX108765.1	Lepidoptera
36	KU053201.1	Lepidoptera
37	MN611529.1	Lepidoptera
38	NC_016067.1	Lepidoptera
39	JF905446.1	Lepidoptera
40	KF881052.1	Lepidoptera
41	MW755976.1	Lepidoptera
42	KT362742.1	Lepidoptera
43	OK011993.1	Lepidoptera
44	NC_026903.1	Lepidoptera
45	NC_058014.1	Lepidoptera
46	NC_046491.1	Lepidoptera
47	MW158374.1	Lepidoptera
48	NC_039876.1	Lepidoptera
49	NC_027108.1	Lepidoptera
50	GU966618.1	Lepidoptera
51	KF590533.1	Lepidoptera
52	NC_039884.1	Lepidoptera
53	NC_024098.1	Lepidoptera
54	KT598278.1	Lepidoptera
55	NC_008141.1	Lepidoptera
56	NC_059038.1	Lepidoptera
57	NC_056092.1	Lepidoptera
58	NC_047304.1	Lepidoptera
59	NC_062116.1	Lepidoptera
60	MT165691.1	Lepidoptera
61	NC_047303.1	Lepidoptera
62	DQ102703.1	Lepidoptera
63	MZ982840.1	Lepidoptera
64	MK521433.1	Lepidoptera
65	NC_024403.1	Lepidoptera
66	MT704827.1	Lepidoptera
67	GU966608.1	Lepidoptera
68	MZ964410.1	Lepidoptera
69	MW158384.1	Lepidoptera
70	GU966623.1	Lepidoptera
71	NC_046032.1	Lepidoptera
72	NC_061539.1	Lepidoptera
73	NC_039716.1	Lepidoptera
74	NC_022699.1	Lepidoptera
75	NC_048471.1	Lepidoptera
76	KM068091.1	Lepidoptera
