	sequence_id	cluster_id
0	KT591478.1	Acheilognathidae
1	NC_028433.1	Acheilognathidae
2	NC_072602.1	Acheilognathidae
3	EF483934.1	Acheilognathidae
4	NC_008642.1	Acheilognathidae
5	NC_013705.1	Acheilognathidae
6	NC_013712.1	Acheilognathidae
7	NC_027437.1	Acheilognathidae
8	EF483932.1	Acheilognathidae
9	NC_028736.1	Acheilognathidae
10	KP015738.1	Acheilognathidae
11	EF483937.1	Acheilognathidae
12	NC_031152.1	Acheilognathidae
13	AP013345.1	Acheilognathidae
14	LC494269.1	Acheilognathidae
15	NC_067619.1	Acheilognathidae
16	AB070205.1	Acheilognathidae
17	FJ515921.1	Acheilognathidae
18	NC_014882.1	Acheilognathidae
19	NC_013711.1	Acheilognathidae
20	AP011255.1	Acheilognathidae
21	AP013343.1	Acheilognathidae
22	KM052222.1	Acheilognathidae
23	KU291171.1	Acheilognathidae
24	NC_022721.1	Acheilognathidae
25	EF483935.1	Acheilognathidae
26	LC494270.1	Acheilognathidae
27	KF425517.1	Acheilognathidae
28	AP012986.1	Acheilognathidae
29	KJ499466.1	Acheilognathidae
30	EF483933.1	Acheilognathidae
31	OQ862324.1	Acheilognathidae
32	NC_025515.1	Acheilognathidae
33	KJ589418.1	Acheilognathidae
34	LC631940.1	Acheilognathidae
35	AP013346.1	Acheilognathidae
36	NC_026872.1	Acheilognathidae
37	EF483936.1	Acheilognathidae
38	EF483930.1	Acheilognathidae
39	KF695385.1	Acheilognathidae
40	KM386633.1	Acheilognathidae
41	MN683735.1	Acheilognathidae
42	NC_042717.1	Acheilognathidae
43	NC_024885.1	Acheilognathidae
44	AB239602.1	Acheilognathidae
45	AP009312.1	Acheilognathidae
46	ON815031.1	Acheilognathidae
47	NC_027665.1	Acheilognathidae
48	MN231004.1	Acheilognathidae
49	NC_066655.1	Acheilognathidae
50	MW896838.1	Acheilognathidae
51	KP231201.1	Acheilognathidae
52	NC_011211.1	Acheilognathidae
53	NC_042407.1	Acheilognathidae
54	NC_023101.1	Acheilognathidae
55	NC_060735.1	Acheilognathidae
56	LC006056.1	Acheilognathidae
57	NC_027084.1	Acheilognathidae
58	MZ981722.1	Acheilognathidae
59	OL542519.1	Acheilognathidae
60	NC_024566.1	Acheilognathidae
61	NC_008668.1	Acheilognathidae
62	NC_029718.1	Acheilognathidae
63	KM232987.1	Acheilognathidae
64	MH190825.1	Acheilognathidae
65	JQ714034.1	Acheilognathidae
66	LC533289.1	Acheilognathidae
67	MW007386.1	Acheilognathidae
68	MZ334545.1	Acheilognathidae
69	MG783572.1	Acheilognathidae
70	MN841274.1	Acheilognathidae
71	KF533721.1	Acheilognathidae
72	AP013342.1	Acheilognathidae
73	MZ568803.1	Acheilognathidae
74	NC_007885.1	Acheilognathidae
75	KP067832.1	Acheilognathidae
76	NC_013704.1	Acheilognathidae
77	AP012526.1	Acheilognathidae
78	NC_025326.1	Acheilognathidae
79	NC_039820.1	Acheilognathidae
80	AP010781.1	Acheilognathidae
81	NC_022690.1	Acheilognathidae
82	AP013348.1	Acheilognathidae
83	AP010778.1	Acheilognathidae
84	DQ026430.1	Acheilognathidae
85	NC_013709.1	Acheilognathidae
86	NC_013702.1	Acheilognathidae
87	MH261370.1	Acheilognathidae
88	MK380726.1	Acheilognathidae
89	KT692966.1	Acheilognathidae
90	DQ155662.1	Acheilognathidae
91	ON961028.1	Acheilognathidae
92	NC_031538.1	Acheilognathidae
93	KF980890.1	Acheilognathidae
94	KT601094.1	Acheilognathidae
95	KT004415.1	Acheilognathidae
96	AP013344.1	Acheilognathidae
97	AP013347.1	Acheilognathidae
98	MG800785.1	Acheilognathidae
99	AP012985.1	Acheilognathidae
100	KF176560.1	Acheilognathidae
101	NC_037404.1	Acheilognathidae
102	NC_028416.1	Acheilognathidae
103	OL856007.1	Acheilognathidae
104	AP011209.1	Acheilognathidae
105	AP011329.1	Cyprinidae
106	KC113210.1	Cyprinidae
107	KU868078.1	Cyprinidae
108	KJ511883.1	Cyprinidae
109	AP011181.1	Cyprinidae
110	NC_016892.1	Cyprinidae
111	NC_027169.1	Cyprinidae
112	AP011355.1	Cyprinidae
113	MH937706.1	Cyprinidae
114	OM234682.1	Cyprinidae
115	KC558499.1	Cyprinidae
116	AP011327.1	Cyprinidae
117	AP011374.1	Cyprinidae
118	MT449680.1	Cyprinidae
119	NC_031603.1	Cyprinidae
120	NC_022941.1	Cyprinidae
121	NC_031607.1	Cyprinidae
122	NC_023366.1	Cyprinidae
123	KX348041.1	Cyprinidae
124	KY305681.1	Cyprinidae
125	MF443770.1	Cyprinidae
126	NC_022943.1	Cyprinidae
127	KT215537.1	Cyprinidae
128	AP012064.1	Cyprinidae
129	MN229746.1	Cyprinidae
130	AP012154.1	Cyprinidae
131	AP012065.1	Cyprinidae
132	OM001088.1	Cyprinidae
133	MZ713633.1	Cyprinidae
134	NC_026221.1	Cyprinidae
135	NC_031608.1	Cyprinidae
136	MG323567.1	Cyprinidae
137	KX840358.1	Cyprinidae
138	NC_036383.1	Cyprinidae
139	KU233186.2	Cyprinidae
140	NC_062665.1	Cyprinidae
141	KJ913780.1	Cyprinidae
142	NC_033914.1	Cyprinidae
143	NC_031556.1	Cyprinidae
144	AP011411.1	Cyprinidae
145	NC_031549.1	Cyprinidae
146	KM288695.1	Cyprinidae
147	AP011261.1	Cyprinidae
148	MN544290.1	Cyprinidae
149	KU668577.1	Cyprinidae
150	NC_053732.1	Cyprinidae
151	OK442459.1	Cyprinidae
152	MW548263.1	Cyprinidae
153	KF134718.1	Cyprinidae
154	MN422094.1	Cyprinidae
155	MG026730.1	Cyprinidae
156	NC_022955.1	Cyprinidae
157	MF804977.1	Cyprinidae
158	JX220892.1	Cyprinidae
159	OP882632.1	Cyprinidae
160	KC351895.1	Cyprinidae
161	AP011178.1	Cyprinidae
162	NC_032398.1	Cyprinidae
163	AP011254.1	Cyprinidae
164	KC558498.1	Cyprinidae
165	MF459673.1	Cyprinidae
166	AB238965.1	Cyprinidae
167	NC_022867.1	Cyprinidae
168	AP013336.1	Cyprinidae
169	AP011376.1	Cyprinidae
170	OP429108.1	Cyprinidae
171	NC_033390.1	Cyprinidae
172	NC_020339.1	Cyprinidae
173	MW748176.1	Cyprinidae
174	NC_031551.1	Cyprinidae
175	KY511122.1	Cyprinidae
176	OR812523.1	Cyprinidae
177	KT210882.1	Cyprinidae
178	KF147851.1	Cyprinidae
179	AP011180.1	Cyprinidae
180	AP009047.1	Cyprinidae
181	MH924834.1	Cyprinidae
182	KT991436.1	Cyprinidae
183	NC_031519.1	Cyprinidae
184	MG878098.1	Cyprinidae
185	NC_033961.1	Cyprinidae
186	KJ684987.1	Cyprinidae
187	AP011413.1	Cyprinidae
188	NC_019995.1	Cyprinidae
189	KP316067.1	Cyprinidae
190	AP011378.1	Cyprinidae
191	AP012151.1	Cyprinidae
192	KF752481.1	Cyprinidae
193	NC_028544.1	Cyprinidae
194	KC161586.1	Cyprinidae
195	MW125611.1	Cyprinidae
196	AP012144.1	Cyprinidae
197	NC_031536.1	Cyprinidae
198	MF443769.1	Cyprinidae
199	AP013324.1	Cyprinidae
200	MG280782.1	Cyprinidae
201	PP059104.1	Cyprinidae
202	KU668574.1	Cyprinidae
203	NC_008655.1	Cyprinidae
204	MK387703.1	Cyprinidae
205	OQ871459.1	Cyprinidae
206	AP011330.1	Cyprinidae
207	ON920699.1	Cyprinidae
208	KR069119.1	Cyprinidae
209	KR780749.1	Cyprinidae
210	CM046600.1	Danionidae
211	NC_025336.1	Danionidae
212	NC_063885.1	Danionidae
213	AP010780.1	Danionidae
214	OM732332.1	Danionidae
215	NC_063871.1	Danionidae
216	NC_063870.1	Danionidae
