	sequence_id	cluster_id
0	01B.TH.2006.AA025a_WG13.JX447000	01B
1	01B.TH.2010.40168v14_10.MN792215	01B
2	01B.TH.2010.40168v09_11.MN792210	01B
3	01B.CN.2018.2018GXQZLSHET001.MN067522	01B
4	01B.TH.2014.2546323P000FL_Sd.MG989526	01B
5	01B.TH.2013.2544878P000_Sa.MF957578	01B
6	01B.TH.2015.2544636P000FL_Sj.MK272371	01B
7	01B.TH.2011.40168v14_04.OM826139	01B
8	01B.TH.2006.AA025a_WG1.JX446997	01B
9	01B.TH.2006.AA020a_wg2.JX446927	01B
10	01B.TH.2006.AA025a_WG3.JX447002	01B
11	01B.TH.2007.AA096a_WG5.JX447839	01B
12	01B.TH.2006.AA025a_WG10.JX446998	01B
13	01B.TH.2005.AA095a_WG22.JX447831	01B
14	01B.TH.2006.AA025a_WG12.JX446999	01B
15	01B.TH.2002.OUR846I.AY358072	01B
16	01B.TH.2010.40168v09_06.MN792206	01B
17	01B.TH.-.1269.AF490973	01B
18	01B.CN.2022.2019638.OR496590	01B
19	01B.TH.2006.AA084a_wg4.JX447673	01B
20	01B.TH.2013.3499P00g.MT121355	01B
21	01B.TH.2013.2544878P000_Se.MF957582	01B
22	01B.TH.2010.40168v14_13.MN792218	01B
23	01B.MM.2000.mIDU502.AB097865	01B
24	01B.TH.2004.04TH321566.JN248322	01B
25	01B.TH.2011.40067v0H_14.OM825805	01B
26	01B.MY.2005.05MYKL043_1.DQ366666	01B
27	01B.TH.2011.40168v14_09.OM826141	01B
28	01B.TH.2004.04TH312908.JN248320	01B
29	01B.TH.-.8569P00c.MK867596	01B
30	01B.JP.2003.03JP-5091K279.AB859012	01B
31	01B.BE.2017.CC.MN486025	01B
32	01B.TH.2007.MERLBDTRC6.JN860765	01B
33	01B.TH.2011.40168v14_08.OM826140	01B
34	01B.TH.2014.2543075P000FL_Sa.MG989490	01B
35	01B.TH.2015.2544636P000FL_Si.MK272370	01B
36	01B.TH.2014.2547610P000FL_Sj.MG989540	01B
37	01B.TH.2007.AA096a_WG16.JX447837	01B
38	01B.TH.2005.05TH443479.JN248349	01B
39	01B.TH.-.CU98_26.EF192592	01B
40	01B.TH.2014.2545848P000FL_Sa.MG989522	01B
41	01B.TH.2000.00TH_C2254_BE.AY945733	01B
42	01B.TH.2005.05TH245651.JN248340	01B
43	01B.TH.2011.40168v14_10.OM826142	01B
44	01B.TH.2013.2544878P000_Sb.MF957579	01B
45	01B.TH.2013.2546952P000FL_Sb.MG989533	01B
46	01B.TH.1999.OUR044I.AY358042	01B
47	01B.VN.2010.VN_287.MT635159	01B
48	01B.TH.1991.CM237.AY167123	01B
49	01B.TH.2010.40168v09_03.MN792203	01B
50	01B.TH.2005.05TH140456.JN631793	01B
51	01B.TH.2013.3499P00l.MT121359	01B
52	01B.TH.-.NP1623.AF362994	01B
53	01B.TH.2005.AA095a_WG21.JX447830	01B
54	01B.MY.2010.10MYPR70.KT438784	01B
55	01B.PH.2015.1001.MH327744	01B
56	01B.TH.2011.40168v14_13.OM826145	01B
57	01B.TH.-.F2_PID_26_W0_S_1D8_1616_0_R323.ON500861	01B
58	01B.TH.2005.AA095a_WG19.JX447829	01B
59	01B.TH.2013.3499P00f.MT121354	01B
60	01B.CN.2019.VCT19038.MZ359120	01B
61	01B.TH.2013.2544878P000_Sd.MF957581	01B
62	01B.TH.-.8569P00k.MK867603	01B
63	01B.CN.2010.JL.RF07.KF859773	01B
64	01B.TH.2010.40168v09_08.MN792208	01B
65	01B.TH.-.8569P00i.MK867602	01B
66	01B.TH.2005.AA095a_WG23.JX447832	01B
67	01B.TH.2014.2549013P000FL_Sd.MG989560	01B
68	01B.TH.2013.3499P00c.MT121352	01B
69	01B.TH.2006.AA084a_wg2.JX447671	01B
70	01B.TH.2004.04TH322500.JN248323	01B
71	01B.TH.2010.40168v09_07.MN792207	01B
72	01B.TH.2013.2544878P000_Sk.MF957587	01B
73	01B.TH.-.8569P00g.MK867600	01B
74	01B.CN.2015.AH150299.MH431788	01B
75	01B.TH.2006.AA084a_WG9.JX447669	01B
76	01B.CN.2013.01B.CN.2012.11092.KU501256	01B
77	01B.PH.2016.DEURF16PH009.MH078563	01B
78	01B.TH.-.TH9_95.AF490974	01B
79	01B.TH.2006.AA020a_wg4.JX446930	01B
80	01B.TH.-.F2_PID_26_W0_S_5C5_9191_0_R476.ON500863	01B
81	01B.TH.-.8569P00e.MK867598	01B
82	01B.MY.2010.10MYPR226.KJ206289	01B
83	01B.TH.2014.2548725P000FL_Sb.MG989556	01B
84	01B.TH.2006.AA020a_wg6.JX446931	01B
85	01B.TH.1996.M171.DQ354121	01B
86	01B.TH.2013.3499P00a.MT121351	01B
87	01B.CN.2013.BJMP3037B.KP418805	01B
88	01B.TH.-.MU2003.DQ354122	01B
89	01B.TH.-.F2_PID_26_W96_S_4G2_7878_0_R464.ON500871	01B
90	01B.TH.2015.2548182P000FL_Sd.MG989545	01B
91	01B.MY.2007.07MYKLD48.EU031914	01B
92	01B.TH.2001.OUR033I.AY358071	01B
93	01B.SE.2010.SE600035.KP411826	01B
94	01B.TH.2011.40168v14_02.OM826137	01B
95	01B.TH.2005.05TH518944.JN248350	01B
96	01B.TH.2002.OUR847I.AY358069	01B
97	01B.TH.2004.04TH423323.JN248326	01B
98	01B.TH.2011.40168v14_14.OM826146	01B
99	01B.TH.2015.2544636P000FL_Sb.MK272368	01B
100	01_AE.TH.2013.Pt6_PreART_70.ON902165	01_AE
101	01_AE.TH.2010.40265v02_09.KY580650	01_AE
102	01_AE.TH.2014.Pt18_PreART_53.ON902888	01_AE
103	01_AE.CN.2010.JL100014.JX112848	01_AE
104	01_AE.TH.2013.4233P00b.MT121572	01_AE
105	01_AE.CN.2010.DE00110CN009.KP109507	01_AE
106	01_AE.CN.2012.DE00112CN011.KP109508	01_AE
107	01_AE.TH.2012.C_PreART_25.ON863077	01_AE
108	01_AE.VN.2015.03-057.MT635146	01_AE
109	01_AE.JP.-.DR1873.AB253649	01_AE
110	01_AE.TH.2012.B_PreART_11.ON862988	01_AE
111	01_AE.GB.2014.14727_1_55.3.MF109618	01_AE
112	01_AE.JP.-.DR1741.AB253646	01_AE
113	01_AE.CM.2006.1002-28.MN116212	01_AE
114	01_AE.TH.2008.AA032a01.JX447072	01_AE
115	01_AE.TH.2010.2543832P000FL_Sf.MK272362	01_AE
116	01_AE.CN.2007.07CNYN359.KF835538	01_AE
117	01_AE.TH.2018.D_OnART_42.ON863157	01_AE
118	01_AE.CM.2005.234-40.MN116209	01_AE
119	01_AE.TH.1993.93TH057.AB253424	01_AE
120	01_AE.TH.1993.93TH057.AB253425	01_AE
121	01_AE.TH.2013.Pt7_PreART_64.ON902352	01_AE
122	01_AE.CN.2002.YN0236.JX112866	01_AE
123	01_AE.GB.2014.13612_1_24.3.MF109407	01_AE
124	01_AE.VN.2011.VN_024.MT635142	01_AE
125	01_AE.TH.2011.40577v14_05.MN792572	01_AE
126	01_AE.TH.2014.Pt20_PreART_04.ON902964	01_AE
127	01_AE.TH.2009.A_PreART_36.ON903132	01_AE
128	01_AE.TH.2006.AA088a_wg16.JX447713	01_AE
129	01_AE.GB.2012.Recipient_N107_52_Months.KP873163	01_AE
130	01_AE.TH.2011.40512v02_10.MN792528	01_AE
131	01_AE.TH.2014.Pt20_PreART_44.ON902996	01_AE
132	01_AE.TH.2005.AA081a15.JX447618	01_AE
133	01_AE.TH.2005.05TH841749.JN248356	01_AE
134	01_AE.TH.2014.Pt12_PreART_55.ON902615	01_AE
135	01_AE.CN.2006.Fj062.EF036531	01_AE
136	01_AE.TH.2010.40100v15_08.OM825862	01_AE
137	01_AE.LA.2011.VI45M3233.MG760421	01_AE
138	01_AE.TH.2010.2543625P000FL_Sn.MK272347	01_AE
139	01_AE.TH.2009.AA090a_WG7.JX447733	01_AE
140	01_AE.TH.2005.AA004a_wg3.JX446714	01_AE
141	01_AE.LA.2012.VI15M4478.MG760383	01_AE
142	01_AE.TH.2009.40061v03_01.KY580541	01_AE
143	01_AE.TH.2010.40100v01_07.KY580586	01_AE
144	01_AE.TH.2013.Pt4_PreART_13.ON902090	01_AE
145	01_AE.TH.2011.2546340P000FL_Sa.MK272672	01_AE
146	01_AE.TH.2009.40061v03_07.KY580547	01_AE
147	01_AE.TH.2013.Pt6_PreART_27.ON902198	01_AE
148	01_AE.TH.2013.Pt9_PreART_15.ON902456	01_AE
149	01_AE.TH.2013.Pt5_PreART_42.ON902133	01_AE
150	01_AE.TH.2010.40007v14_07.MN792029	01_AE
151	01_AE.TH.2014.Pt20_PreART_60.ON903009	01_AE
152	01_AE.JP.1993.93JP_NH1.AB052995	01_AE
153	01_AE.TH.2010.40100v14_01.KY580633	01_AE
154	01_AE.TH.2011.40231v09_09.MN792247	01_AE
155	01_AE.TH.2009.40061v07_11.KY580571	01_AE
156	01_AE.TH.2014.Pt17_PreART_50.ON902812	01_AE
157	01_AE.TH.2007.AA072a10.JX447502	01_AE
158	01_AE.TH.2014.Pt18_PreART_62.ON902893	01_AE
159	01_AE.TH.2009.40211v0A_07.OM826183	01_AE
160	01_AE.TH.2015.2548105P000FL_Se.MK272416	01_AE
161	01_AE.BE.2017.CA.MN486023	01_AE
162	01_AE.TH.2016.Pt6_onART_57.ON902224	01_AE
163	01_AE.TH.2014.Pt11_PreART_14.ON902520	01_AE
164	01_AE.TH.2013.2549325P000FL_Sa.MG989563	01_AE
165	01_AE.TH.2000.00TH_C3347.AY945721	01_AE
166	01_AE.TH.-.8820P00i.MK867607	01_AE
167	01_AE.VN.1997.97VNAG210.FJ185251	01_AE
168	01_AE.TH.2016.Pt6_onART_46.ON902231	01_AE
169	01_AE.TH.2014.Pt16_PreART_17.ON902741	01_AE
170	01_AE.TH.2014.Pt16_PreART_16.ON902740	01_AE
171	01_AE.CN.2007.JS070901.JX112850	01_AE
172	01_AE.TH.2013.40700v03_03.OM826771	01_AE
173	01_AE.TH.2018.C_OnART_37.ON863119	01_AE
174	01_AE.TH.2013.Pt1_PreART_06.ON901972	01_AE
175	01_AE.TH.2010.40250v09_06.MN792286	01_AE
176	01_AE.TH.2014.Pt12_PreART_49.ON902609	01_AE
177	01_AE.JP.-.DR0492.AB253684	01_AE
178	01_AE.TH.2011.40231v14_03.MN792251	01_AE
179	01_AE.VN.2012.VN_446.MT635168	01_AE
180	01_AE.TH.2012.D_PreART_06.ON863166	01_AE
181	01_AE.TH.2010.40257v09_13.MN792340	01_AE
182	01_AE.ID.2014.PB15_Sorong_2014.OQ357249	01_AE
183	01_AE.TH.2013.4233P00i.MT121578	01_AE
184	01_AE.TH.2015.2547188P000FL_Sk.MG989534	01_AE
185	01_AE.TH.2010.40007v09_08.MN792020	01_AE
186	01_AE.TH.2012.E_PreART_64.ON863357	01_AE
