	sequence_id	cluster_id
0	NC_035826.1	Pezizomycotina
1	NC_047444.1	Pezizomycotina
2	NC_039372.1	Pezizomycotina
3	AP007176.1	Pezizomycotina
4	MN935295.1	Pezizomycotina
5	MT108299.1	Pezizomycotina
6	MN935413.1	Pezizomycotina
7	MT495248.1	Pezizomycotina
8	MN935369.1	Pezizomycotina
9	MK314734.1	Pezizomycotina
10	KR139916.1	Pezizomycotina
11	KY644696.1	Pezizomycotina
12	MT036749.1	Pezizomycotina
13	MT118655.1	Pezizomycotina
14	MT036720.1	Pezizomycotina
15	LR792747.1	Pezizomycotina
16	MW182674.1	Pezizomycotina
17	MF155191.1	Pezizomycotina
18	MT036729.1	Pezizomycotina
19	MN935286.1	Pezizomycotina
20	MT036642.1	Pezizomycotina
21	EU371503.2	Pezizomycotina
22	OK267388.1	Pezizomycotina
23	MN935425.1	Pezizomycotina
24	MN935244.1	Pezizomycotina
25	NC_043850.1	Pezizomycotina
26	HG970331.1	Pezizomycotina
27	NC_040008.1	Pezizomycotina
28	NC_028330.1	Pezizomycotina
29	KY362374.1	Pezizomycotina
30	MN935364.1	Pezizomycotina
31	MN935312.1	Pezizomycotina
32	NC_023268.1	Pezizomycotina
33	MK318967.1	Pezizomycotina
34	MN935357.1	Pezizomycotina
35	NC_026869.1	Pezizomycotina
36	JN041209.1	Pezizomycotina
37	KY213951.1	Pezizomycotina
38	KU881725.1	Pezizomycotina
39	MN935302.1	Pezizomycotina
40	NC_054216.1	Pezizomycotina
41	MT036746.1	Pezizomycotina
42	MH211587.1	Pezizomycotina
43	JQ435097.1	Pezizomycotina
44	NC_039132.1	Pezizomycotina
45	KU168424.1	Pezizomycotina
46	MW182667.1	Pezizomycotina
47	NC_042822.1	Pezizomycotina
48	MT118657.1	Pezizomycotina
49	NC_063723.1	Pezizomycotina
50	MN935367.1	Pezizomycotina
51	NC_049089.1	Pezizomycotina
52	MN935255.1	Pezizomycotina
53	MT269798.1	Pezizomycotina
54	KX066185.1	Pezizomycotina
55	MT036706.1	Pezizomycotina
56	MW182661.1	Pezizomycotina
57	MT010917.1	Pezizomycotina
58	MT036734.1	Pezizomycotina
59	MN935390.1	Pezizomycotina
60	BK010538.1	Pezizomycotina
61	KP966557.1	Pezizomycotina
62	JN088164.1	Pezizomycotina
63	NC_042184.1	Pezizomycotina
64	NC_005256.1	Pezizomycotina
65	NC_035508.1	Pezizomycotina
66	KX885099.1	Pezizomycotina
67	AY945289.1	Pezizomycotina
68	KY318514.1	Pezizomycotina
69	MN935238.1	Pezizomycotina
70	CP064803.1	Pezizomycotina
71	MN935290.1	Pezizomycotina
72	KX034082.1	Pezizomycotina
73	MN935421.1	Pezizomycotina
74	MN935258.1	Pezizomycotina
75	KX885105.1	Pezizomycotina
76	MN935246.1	Pezizomycotina
77	NC_030636.1	Pezizomycotina
78	MN515031.1	Pezizomycotina
79	MT036701.1	Pezizomycotina
80	KY853549.1	Pezizomycotina
81	MN935336.1	Pezizomycotina
82	KP966561.1	Pezizomycotina
83	MN935335.1	Pezizomycotina
84	NC_009746.1	Pezizomycotina
85	MT036705.1	Pezizomycotina
86	MN935383.1	Pezizomycotina
87	MT036646.1	Pezizomycotina
88	MF287973.1	Pezizomycotina
89	MT036739.1	Pezizomycotina
90	NC_042413.1	Pezizomycotina
91	NC_012832.1	Pezizomycotina
92	NC_027416.1	Pezizomycotina
93	CP047257.1	Pezizomycotina
94	MG543071.1	Pezizomycotina
95	MK919205.1	Pezizomycotina
96	MH015348.1	Pezizomycotina
97	MT036755.1	Pezizomycotina
98	MW182656.1	Pezizomycotina
99	MG020143.1	Pezizomycotina
100	MT036711.1	Pezizomycotina
101	MN935261.1	Pezizomycotina
102	MH359409.1	Pezizomycotina
103	MT010926.1	Pezizomycotina
104	MN922285.1	Pezizomycotina
105	JN204424.1	Pezizomycotina
106	NC_048507.1	Pezizomycotina
107	MN935254.1	Pezizomycotina
108	MK674497.1	Pezizomycotina
109	DQ207726.1	Pezizomycotina
110	NC_035940.1	Pezizomycotina
111	NC_059725.1	Pezizomycotina
112	KX066187.1	Pezizomycotina
113	MN935230.1	Pezizomycotina
114	MT331849.1	Pezizomycotina
115	KX885104.1	Pezizomycotina
116	NC_047289.1	Pezizomycotina
117	KU761332.1	Pezizomycotina
118	NC_056378.1	Pezizomycotina
119	MK307887.1	Pezizomycotina
120	MN935404.1	Pezizomycotina
121	MN935359.1	Pezizomycotina
122	JN088165.1	Pezizomycotina
123	MN935333.1	Pezizomycotina
124	MT036704.1	Pezizomycotina
125	CP084942.1	Pezizomycotina
126	NC_034790.1	Pezizomycotina
127	MN935280.1	Pezizomycotina
128	MT010913.1	Pezizomycotina
129	OK512878.1	Pezizomycotina
130	MN935322.1	Pezizomycotina
131	NC_008282.1	Pezizomycotina
132	MN935320.1	Pezizomycotina
133	MW182663.1	Pezizomycotina
134	MN935366.1	Pezizomycotina
135	MH359412.1	Pezizomycotina
136	KT201147.1	Pezizomycotina
137	MT036683.1	Pezizomycotina
138	KF479445.1	Pezizomycotina
139	MH359408.1	Pezizomycotina
140	MN935268.1	Pezizomycotina
141	NC_036667.1	Pezizomycotina
142	MT036685.1	Pezizomycotina
143	MT036723.1	Pezizomycotina
144	KR952335.1	Pezizomycotina
145	MG807882.1	Pezizomycotina
146	MN935224.1	Pezizomycotina
147	MW493386.1	Pezizomycotina
148	MZ714577.1	Pezizomycotina
149	MN935410.1	Pezizomycotina
150	MK802879.1	Pezizomycotina
151	KP722502.2	Pezizomycotina
152	MT036710.1	Pezizomycotina
