	sequence_id	cluster_id
0	EU143843.1	Avastrovirus
1	OQ076692.1	Avastrovirus
2	OM469238.1	Avastrovirus
3	OM264912.1	Avastrovirus
4	ON971223.1	Avastrovirus
5	MW684826.1	Avastrovirus
6	HC086767.1	Avastrovirus
7	JF414802.1	Avastrovirus
8	MT789782.1	Avastrovirus
9	OM469236.1	Avastrovirus
10	OP621336.1	Avastrovirus
11	MN399857.1	Avastrovirus
12	OQ909424.1	Avastrovirus
13	OM811459.1	Avastrovirus
14	MW684824.1	Avastrovirus
15	KY855437.1	Avastrovirus
16	OR902761.1	Avastrovirus
17	MZ367612.1	Avastrovirus
18	MN428644.1	Avastrovirus
19	OM937013.1	Avastrovirus
20	OM273310.1	Avastrovirus
21	FJ919227.1	Avastrovirus
22	EU143847.1	Avastrovirus
23	ON049471.1	Avastrovirus
24	MW505491.1	Avastrovirus
25	MN307119.1	Avastrovirus
26	OP764611.1	Avastrovirus
27	OM200916.1	Avastrovirus
28	MN175321.1	Avastrovirus
29	OR907128.1	Avastrovirus
30	KT946725.1	Avastrovirus
31	OM469242.1	Avastrovirus
32	ON049469.1	Avastrovirus
33	OL652659.1	Avastrovirus
34	MN149393.1	Avastrovirus
35	OQ787033.1	Avastrovirus
36	MK746105.2	Avastrovirus
37	MW826371.1	Avastrovirus
38	OP621330.1	Avastrovirus
39	OR924092.1	Avastrovirus
40	MH410610.1	Avastrovirus
41	MT789777.1	Avastrovirus
42	MT789787.1	Avastrovirus
43	OP484923.1	Avastrovirus
44	KX397575.1	Avastrovirus
45	KY855442.1	Avastrovirus
46	MW588064.1	Avastrovirus
47	MW413813.1	Avastrovirus
48	OR545548.1	Avastrovirus
49	OR902762.1	Avastrovirus
50	OM455388.1	Avastrovirus
51	ON382520.1	Avastrovirus
52	MN307117.1	Avastrovirus
53	MN109956.1	Avastrovirus
54	PP228885.1	Avastrovirus
55	KY855441.1	Avastrovirus
56	OQ685945.1	Avastrovirus
57	OP169001.1	Avastrovirus
58	MK204385.1	Avastrovirus
59	EU143846.1	Avastrovirus
60	OM811460.1	Avastrovirus
61	MW784086.1	Avastrovirus
62	MN725025.1	Avastrovirus
63	KY855439.1	Avastrovirus
64	KT946724.1	Avastrovirus
65	OP621340.1	Avastrovirus
66	MH453800.1	Avastrovirus
67	OP621339.1	Avastrovirus
68	MT789774.1	Avastrovirus
69	OR924090.1	Avastrovirus
70	KF753805.1	Avastrovirus
71	OM273304.1	Avastrovirus
72	JX439643.1	Avastrovirus
73	NC_034567.1	Avastrovirus
74	MN109957.1	Avastrovirus
75	PP228886.1	Avastrovirus
76	MW684830.1	Avastrovirus
77	MN103532.1	Avastrovirus
78	MN127959.1	Avastrovirus
79	KY271027.1	Avastrovirus
80	HQ889774.1	Avastrovirus
81	EU143844.1	Avastrovirus
82	MG846415.1	Avastrovirus
83	MN068023.1	Avastrovirus
84	AB033998.1	Avastrovirus
85	ON049472.1	Avastrovirus
86	ON382519.1	Avastrovirus
87	MW684832.1	Avastrovirus
88	OM719749.1	Avastrovirus
89	MN307114.1	Avastrovirus
90	OR907126.1	Avastrovirus
91	OP621334.1	Avastrovirus
92	MW826483.1	Avastrovirus
93	MN428641.1	Avastrovirus
94	OP776630.1	Avastrovirus
95	OM469232.1	Avastrovirus
96	MN732558.1	Avastrovirus
97	FJ919226.1	Avastrovirus
98	OM273306.1	Avastrovirus
99	ON049468.1	Avastrovirus
100	JX624774.1	Avastrovirus
101	FJ434664.1	Avastrovirus
102	MT789786.1	Avastrovirus
103	FJ919225.1	Avastrovirus
104	OM264914.1	Avastrovirus
105	OR902763.1	Avastrovirus
106	MW784099.1	Avastrovirus
107	MN127958.1	Avastrovirus
108	OP621341.1	Avastrovirus
109	MN127952.1	Avastrovirus
110	NC_003790.1	Avastrovirus
111	MW684823.1	Avastrovirus
112	MW345727.1	Avastrovirus
113	MH453801.1	Avastrovirus
114	MN127957.1	Avastrovirus
115	OP621335.1	Avastrovirus
116	OM469230.1	Avastrovirus
117	OR902759.1	Avastrovirus
118	MT491730.1	Avastrovirus
119	KT946719.1	Avastrovirus
120	OP484924.1	Avastrovirus
121	OM469240.1	Avastrovirus
122	OM469243.1	Avastrovirus
123	EU143848.1	Avastrovirus
