	sequence_id	cluster_id
0	MW122508.1	Ascomycota
1	MN935274.1	Ascomycota
2	CP048728.1	Ascomycota
3	MT036687.1	Ascomycota
4	NC_040165.1	Ascomycota
5	KC993183.1	Ascomycota
6	MT036724.1	Ascomycota
7	MT010929.1	Ascomycota
8	MN935374.1	Ascomycota
9	KP966558.1	Ascomycota
10	KP712778.1	Ascomycota
11	LC670769.1	Ascomycota
12	CP006512.1	Ascomycota
13	NC_039633.1	Ascomycota
14	JQ346809.1	Ascomycota
15	FJ385029.1	Ascomycota
16	NC_006626.1	Ascomycota
17	MT433105.1	Ascomycota
18	MK318967.1	Ascomycota
19	CP006564.1	Ascomycota
20	MN960691.1	Ascomycota
21	NC_016955.1	Ascomycota
22	NC_016687.1	Ascomycota
23	MW182678.1	Ascomycota
24	MT036703.1	Ascomycota
25	KM486533.1	Ascomycota
26	KJ459953.1	Ascomycota
27	MT461932.1	Ascomycota
28	DQ364632.1	Ascomycota
29	OK267391.1	Ascomycota
30	MT442061.1	Ascomycota
31	MT442066.1	Ascomycota
32	NC_010652.2	Ascomycota
33	CP006476.1	Ascomycota
34	KU761330.1	Ascomycota
35	KY287661.1	Ascomycota
36	MN935264.1	Ascomycota
37	KC993191.1	Ascomycota
38	MN935273.1	Ascomycota
39	MT433116.1	Ascomycota
40	MN935296.1	Ascomycota
41	KP712779.1	Ascomycota
42	MH359409.1	Ascomycota
43	CP006507.1	Ascomycota
44	NC_022151.1	Ascomycota
45	NC_056323.1	Ascomycota
46	NC_022170.1	Ascomycota
47	KP712791.1	Ascomycota
48	MN125601.1	Ascomycota
49	CP006515.1	Ascomycota
50	NC_022155.1	Ascomycota
51	MT447078.1	Ascomycota
52	NC_013839.1	Ascomycota
53	KU920682.1	Ascomycota
54	CP006521.1	Ascomycota
55	KP712782.1	Ascomycota
56	MT433108.1	Ascomycota
57	MK069583.1	Ascomycota
58	MK202802.1	Ascomycota
59	MN935411.1	Ascomycota
60	NC_031384.1	Ascomycota
61	MG958507.1	Ascomycota
62	NC_027433.1	Ascomycota
63	NW_023500906.1	Ascomycota
64	NC_044483.1	Ascomycota
65	NC_008248.1	Ascomycota
66	MT447074.1	Ascomycota
67	CP006560.2	Ascomycota
68	NC_029458.1	Ascomycota
69	NC_050377.1	Ascomycota
70	CP006477.1	Ascomycota
71	MN935352.1	Ascomycota
72	KY774449.1	Ascomycota
73	MN935400.1	Ascomycota
74	MT447079.1	Ascomycota
75	MN935248.1	Ascomycota
76	MN935312.1	Ascomycota
77	NC_022158.1	Ascomycota
78	KU920676.1	Ascomycota
79	MT433100.1	Ascomycota
80	CP020241.1	Ascomycota
81	AP014931.1	Ascomycota
82	KX061492.1	Ascomycota
83	MN635609.1	Ascomycota
84	NC_040007.1	Ascomycota
85	NC_050380.1	Ascomycota
86	NC_060511.1	Ascomycota
87	NC_016187.1	Ascomycota
88	MN935417.1	Ascomycota
89	CP073040.1	Ascomycota
90	MT442070.1	Ascomycota
91	MT421960.1	Ascomycota
92	NC_035940.1	Ascomycota
93	NC_050340.1	Ascomycota
94	MT421951.1	Ascomycota
95	CP006543.1	Ascomycota
96	CP083252.1	Ascomycota
97	MN935351.1	Ascomycota
98	KY989228.1	Ascomycota
99	CP006491.2	Ascomycota
100	MN935266.1	Ascomycota
101	NC_049089.1	Ascomycota
102	MN935242.1	Ascomycota
103	HQ622809.1	Ascomycota
104	MW367979.1	Ascomycota
105	KY924882.1	Ascomycota
106	MT433104.1	Ascomycota
107	KY989234.1	Ascomycota
108	OK267390.1	Ascomycota
109	NC_022165.1	Ascomycota
110	KP712784.1	Ascomycota
111	MZ713368.1	Ascomycota
112	MW387533.1	Ascomycota
113	KP712799.1	Ascomycota
114	CP020156.1	Ascomycota
115	NC_050379.1	Ascomycota
116	MN935231.1	Ascomycota
117	HQ267968.1	Ascomycota
118	MK038875.1	Ascomycota
119	NC_024093.1	Ascomycota
120	MG916964.1	Ascomycota
121	MT036643.1	Ascomycota
122	NC_031512.1	Ascomycota
123	NC_057617.1	Ascomycota
124	NC_004514.1	Ascomycota
125	MK456488.1	Ascomycota
126	JX910419.1	Ascomycota
127	MT849287.1	Ascomycota
128	MH211587.1	Ascomycota
129	MW182670.1	Ascomycota
130	NC_050844.1	Ascomycota
131	CP006498.1	Ascomycota
132	NC_030635.1	Ascomycota
133	NC_063724.1	Ascomycota
134	KC832409.1	Ascomycota
135	CP072760.1	Ascomycota
136	CP069123.1	Ascomycota
137	MW030499.1	Ascomycota
138	MT010921.1	Ascomycota
139	EF536359.1	Ascomycota
140	CP006522.2	Ascomycota
141	NC_022156.1	Ascomycota
142	MN935297.1	Ascomycota
143	CP006481.1	Ascomycota
144	KX657746.1	Ascomycota
145	KY989233.1	Ascomycota
146	MH359411.1	Ascomycota
147	MN935414.1	Ascomycota
148	NC_012828.1	Ascomycota
149	KC993175.1	Ascomycota
150	KY287647.1	Ascomycota
151	CP020326.1	Ascomycota
152	MN935225.1	Ascomycota
153	MT421958.1	Ascomycota
154	NC_014612.1	Ascomycota
155	CP006495.1	Ascomycota
156	KP966557.1	Ascomycota
157	JQ864234.1	Ascomycota
158	MT036645.1	Ascomycota
159	NC_025570.1	Ascomycota
160	KP712794.1	Ascomycota
161	NC_051494.1	Ascomycota
162	KU920680.1	Ascomycota
163	KY989232.1	Ascomycota
164	MG269480.1	Ascomycota
165	MW182660.1	Ascomycota
166	AP024424.1	Ascomycota
167	MT036713.1	Ascomycota
168	MT036697.1	Ascomycota
169	KC993189.1	Ascomycota
170	MK307916.1	Ascomycota
171	MN935409.1	Ascomycota
172	NC_050374.1	Ascomycota
173	NC_032063.1	Ascomycota
174	CP006544.1	Ascomycota
175	KU920675.1	Ascomycota
176	NC_035824.1	Ascomycota
177	KP712804.1	Ascomycota
178	KF650573.1	Ascomycota
179	MT010912.1	Ascomycota
180	MT442058.1	Ascomycota
181	CP006502.1	Ascomycota
182	NC_059893.1	Ascomycota
183	KU196965.1	Ascomycota
184	NC_014693.1	Ascomycota
185	MF287973.1	Ascomycota
186	CP022982.1	Ascomycota
187	NC_027458.1	Ascomycota
188	CP006556.1	Ascomycota
189	NC_022708.1	Ascomycota
190	MN935256.1	Ascomycota
191	CP027655.1	Ascomycota
192	MG674287.1	Ascomycota
193	CP087875.1	Ascomycota
194	MT036640.1	Ascomycota
195	MN935397.1	Ascomycota
196	KU920677.1	Ascomycota
197	NC_024095.1	Ascomycota
198	CP064816.1	Ascomycota
199	MT527962.1	Ascomycota
200	MN935255.1	Ascomycota
201	CP058612.1	Ascomycota
202	MH359410.1	Ascomycota
203	CP083471.1	Ascomycota
204	MT036712.1	Ascomycota
205	KF432176.1	Ascomycota
206	KY287662.1	Ascomycota
207	DQ508940.1	Ascomycota
208	JN696111.1	Ascomycota
209	CP061163.1	Ascomycota
210	DQ026513.2	Ascomycota
211	NC_031511.1	Ascomycota
212	NC_053321.1	Ascomycota
213	CP088317.1	Ascomycota
214	NC_009746.1	Ascomycota
215	MK697668.1	Ascomycota
216	MN935338.1	Ascomycota
217	LC545447.1	Ascomycota
218	AF285261.1	Ascomycota
219	MN935295.1	Ascomycota
220	NC_022161.1	Ascomycota
221	MT442059.1	Ascomycota
222	AP014929.1	Ascomycota
223	CP006485.1	Ascomycota
224	EU334437.1	Ascomycota
225	MN935380.1	Ascomycota
226	NC_031804.1	Ascomycota
227	NC_063720.1	Ascomycota
228	MT818175.1	Ascomycota
229	NC_036748.1	Ascomycota
230	MN935359.1	Ascomycota
231	NC_006971.1	Ascomycota
232	MT449695.1	Ascomycota
233	NC_014337.1	Ascomycota
234	MT036755.1	Ascomycota
235	NC_022434.1	Ascomycota
236	BK010543.1	Ascomycota
237	NC_048507.1	Ascomycota
238	KY989227.1	Ascomycota
239	CP098272.1	Ascomycota
240	NC_013830.1	Ascomycota
241	KY287656.1	Ascomycota
242	MT442067.1	Ascomycota
243	NC_060508.1	Ascomycota
244	MG269481.1	Ascomycota
245	MT036708.1	Ascomycota
246	KY287655.1	Ascomycota
247	CP006557.1	Ascomycota
248	MW367977.1	Ascomycota
249	CP006549.1	Ascomycota
250	KX011536.1	Ascomycota
251	MN239093.1	Ascomycota
252	MK124769.1	Ascomycota
253	CP006505.1	Ascomycota
254	MT036752.1	Ascomycota
255	NC_012620.1	Ascomycota
256	NC_013147.1	Ascomycota
257	KX066187.1	Ascomycota
258	CP063273.1	Ascomycota
259	CP006550.2	Ascomycota
260	OK267386.1	Ascomycota
261	KY287652.1	Ascomycota
262	NC_022834.1	Ascomycota
263	KM595069.1	Ascomycota
264	MN935392.1	Ascomycota
265	MT421954.1	Ascomycota
266	MT433110.1	Ascomycota
267	AF437291.1	Ascomycota
268	NC_050343.1	Ascomycota
269	KX657747.1	Ascomycota
270	MT036694.1	Ascomycota
271	LN907800.1	Ascomycota
272	NC_027416.1	Ascomycota
273	MN935336.1	Ascomycota
274	AY916130.1	Ascomycota
275	KP712786.1	Ascomycota
276	KU888694.1	Ascomycota
277	NC_036380.1	Ascomycota
278	KP722507.2	Ascomycota
279	KX657743.1	Ascomycota
280	NC_017896.1	Ascomycota
281	KR952335.1	Ascomycota
282	NC_030334.1	Ascomycota
283	KJ459951.1	Ascomycota
284	CP006552.1	Ascomycota
285	MT036699.1	Ascomycota
286	KY287641.1	Ascomycota
287	KY364635.1	Ascomycota
288	CP006558.1	Ascomycota
289	MN935279.1	Ascomycota
290	MW560465.1	Ascomycota
291	NC_012145.1	Ascomycota
292	HQ616673.1	Ascomycota
293	MN935347.1	Ascomycota
294	MN935424.1	Ascomycota
295	CP006537.1	Ascomycota
296	NC_022175.1	Ascomycota
297	NC_036039.1	Ascomycota
298	NC_008068.1	Ascomycota
299	NC_022173.1	Ascomycota
300	NC_063722.1	Ascomycota
301	CP006514.1	Ascomycota
302	CP006258.1	Ascomycota
303	AP024451.1	Ascomycota
304	CP020139.1	Ascomycota
305	NC_031514.1	Ascomycota
306	CP006488.1	Ascomycota
307	MN935389.1	Ascomycota
308	NC_050382.1	Ascomycota
309	NC_009493.1	Ascomycota
310	NC_043850.1	Ascomycota
311	MT331848.1	Ascomycota
312	CP006484.1	Ascomycota
313	KF650575.1	Ascomycota
314	MZ714582.1	Ascomycota
315	NC_006972.1	Ascomycota
316	MT447077.1	Ascomycota
317	MT036737.1	Ascomycota
318	CP021245.1	Ascomycota
319	NC_025928.1	Ascomycota
320	NC_013145.2	Ascomycota
321	MT433109.1	Ascomycota
322	MN935226.1	Ascomycota
323	KX657749.1	Ascomycota
324	MN515031.1	Ascomycota
325	NC_031515.1	Ascomycota
326	KX657748.1	Ascomycota
327	AP014934.1	Ascomycota
328	MW373710.1	Ascomycota
329	NC_042822.1	Ascomycota
330	NC_008282.1	Ascomycota
331	KT201150.1	Ascomycota
332	AP014933.1	Ascomycota
333	KX455872.1	Ascomycota
334	MN259514.1	Ascomycota
335	MW255594.1	Basidiomycota
336	NC_038055.1	Basidiomycota
337	NC_059895.1	Basidiomycota
338	MW683309.1	Basidiomycota
339	MW648990.1	Basidiomycota
340	NC_038054.1	Basidiomycota
341	MZ066607.1	Basidiomycota
342	MW660363.1	Basidiomycota
343	MT479166.1	Basidiomycota
344	MT556837.1	Basidiomycota
345	MK993557.1	Basidiomycota
346	MK697670.1	Basidiomycota
347	NC_042772.1	Basidiomycota
348	MW683312.1	Basidiomycota
349	MZ647487.1	Basidiomycota
350	KY911082.1	Basidiomycota
351	MN873038.1	Basidiomycota
352	MN018834.1	Basidiomycota
353	MH647060.1	Basidiomycota
354	MT227806.1	Basidiomycota
355	NC_020354.1	Basidiomycota
356	MK993555.1	Basidiomycota
357	MW660364.1	Basidiomycota
358	MT366950.1	Basidiomycota
359	NC_013933.1	Basidiomycota
360	MW683314.1	Basidiomycota
361	NC_045204.1	Basidiomycota
362	NC_045203.1	Basidiomycota
363	MN116502.1	Basidiomycota
364	MZ151416.1	Basidiomycota
365	JN190939.1	Basidiomycota
366	MT577035.1	Basidiomycota
367	NC_020368.1	Basidiomycota
368	MF422656.1	Basidiomycota
369	MH252531.1	Basidiomycota
370	NC_045202.1	Basidiomycota
371	NC_050862.1	Basidiomycota
372	MT577034.1	Basidiomycota
373	KC285587.1	Basidiomycota
374	MZ066603.1	Basidiomycota
375	NC_036340.1	Basidiomycota
376	GQ332420.1	Basidiomycota
377	CP025731.1	Basidiomycota
378	MK714018.1	Basidiomycota
379	NC_037777.1	Basidiomycota
380	NC_045293.1	Basidiomycota
381	MZ042935.1	Basidiomycota
382	MW683321.1	Basidiomycota
383	NC_008368.1	Basidiomycota
384	MN873037.1	Basidiomycota
385	JF799107.1	Basidiomycota
