	sequence_id	cluster_id
0	AB570685.1	Alveolata
1	AB570676.1	Alveolata
2	KY923425.1	Alveolata
3	AB570939.1	Alveolata
4	MT471317.1	Alveolata
5	NC_056101.1	Alveolata
6	KF501573.1	Alveolata
7	AY282948.1	Alveolata
8	AY598036.1	Alveolata
9	KJ418723.1	Alveolata
10	AB570671.1	Alveolata
11	AB570463.1	Alveolata
12	KY923473.1	Alveolata
13	AY598084.1	Alveolata
14	MW934557.1	Alveolata
15	JN788740.1	Alveolata
16	KY923510.1	Alveolata
17	MG831586.1	Alveolata
18	HM032052.1	Alveolata
19	AB570452.1	Alveolata
20	KY923384.1	Alveolata
21	AB570805.1	Alveolata
22	AY282970.1	Alveolata
23	KY923347.1	Alveolata
24	KY923555.1	Alveolata
25	KP796149.1	Alveolata
26	KY923388.1	Alveolata
27	AB570555.1	Alveolata
28	AB570966.1	Alveolata
29	NC_028626.1	Alveolata
30	JX444719.1	Alveolata
31	KC138226.1	Alveolata
32	KY923613.1	Alveolata
33	KT203396.1	Alveolata
34	AB570680.1	Alveolata
35	KY923643.1	Alveolata
36	JQ240371.1	Alveolata
37	AB570510.1	Alveolata
38	AY282992.1	Alveolata
39	JQ240420.1	Alveolata
40	AY598111.1	Alveolata
41	JQ240418.1	Alveolata
42	AY598135.1	Alveolata
43	AY598124.1	Alveolata
44	AB570815.1	Alveolata
45	KY923587.1	Alveolata
46	KY923595.1	Alveolata
47	JQ240428.1	Alveolata
48	AY598090.1	Alveolata
49	AB570511.1	Alveolata
50	KY923406.1	Alveolata
51	KP025690.1	Alveolata
52	KY923639.1	Alveolata
53	AB570595.1	Alveolata
54	AB570971.1	Alveolata
55	MT684459.1	Alveolata
56	DQ642845.1	Alveolata
57	AB570762.1	Alveolata
58	AB570437.1	Alveolata
59	AB570905.1	Alveolata
60	KY923299.1	Alveolata
61	MW303519.1	Alveolata
62	MN260354.1	Alveolata
63	KT369006.1	Alveolata
64	AY282953.1	Alveolata
65	MW934556.1	Alveolata
66	AB570844.1	Alveolata
67	AB570758.1	Alveolata
68	KY923294.1	Alveolata
69	KY923482.1	Alveolata
70	AB570658.1	Alveolata
71	AY282937.1	Alveolata
72	AB570967.1	Alveolata
73	AY598072.1	Alveolata
74	AY598062.1	Alveolata
75	AB570839.1	Alveolata
76	AB570767.1	Alveolata
77	AB570741.1	Alveolata
78	AB570649.1	Alveolata
79	KP658101.1	Alveolata
80	AB570859.1	Alveolata
81	AY598060.1	Alveolata
82	KY923345.1	Alveolata
83	AB550274.1	Alveolata
84	AB570867.1	Alveolata
85	AB570857.1	Alveolata
86	MN260350.1	Alveolata
87	KY923411.1	Alveolata
88	KY923504.1	Alveolata
89	KY923354.1	Alveolata
90	AB570777.1	Alveolata
91	MF197853.1	Alveolata
92	JQ240362.1	Alveolata
93	MN260358.1	Alveolata
94	JQ240424.1	Alveolata
95	KY923606.1	Alveolata
96	AB570558.1	Alveolata
97	KY923616.1	Alveolata
98	AB570975.1	Alveolata
99	JQ240338.1	Alveolata
100	AY598061.1	Alveolata
101	AY283013.1	Alveolata
102	AB570744.1	Alveolata
103	AB570527.1	Alveolata
104	AB570653.1	Alveolata
105	AB685182.1	Alveolata
106	KY923343.1	Alveolata
107	KY923322.1	Alveolata
108	KY923590.1	Alveolata
109	JQ240388.1	Alveolata
110	AB570644.1	Alveolata
111	AB570766.1	Alveolata
112	AB570583.1	Alveolata
113	AY282931.1	Alveolata
114	AB570497.1	Alveolata
115	AB570947.1	Alveolata
116	AY282947.1	Alveolata
117	KY923642.1	Alveolata
118	AB570696.1	Alveolata
119	MN260363.1	Alveolata
120	KY923450.1	Alveolata
121	AB570798.1	Alveolata
122	KY923493.1	Alveolata
123	AB570986.1	Alveolata
124	JQ240343.1	Alveolata
125	KY923376.1	Alveolata
126	AB570434.1	Alveolata
127	JQ240387.1	Alveolata
128	KT119873.1	Alveolata
129	AB570884.1	Alveolata
130	AB570977.1	Alveolata
131	AY282995.1	Alveolata
132	JQ240363.1	Alveolata
133	AB570868.1	Alveolata
134	KY923563.1	Alveolata
135	AB570667.1	Alveolata
136	AY598127.1	Alveolata
137	KY923561.1	Alveolata
138	KY923317.1	Alveolata
139	AB570933.1	Alveolata
140	AY598067.1	Alveolata
141	HQ702482.1	Alveolata
142	AY598063.1	Alveolata
143	NC_012425.1	Alveolata
144	JN788765.1	Alveolata
145	KY923327.1	Alveolata
146	KY923395.1	Alveolata
147	AB570444.1	Alveolata
148	AB570981.1	Alveolata
149	KJ569490.1	Alveolata
150	KY923415.1	Alveolata
151	AB570493.1	Alveolata
152	AB570799.1	Alveolata
153	MN260356.1	Alveolata
154	AB570542.1	Alveolata
155	MN605892.1	Alveolata
156	KT203399.1	Alveolata
157	AY598101.1	Alveolata
