	sequence_id	cluster_id
0	OR950752.1	Carassius
1	OP882628.1	Carassius
2	OP882627.1	Carassius
3	OQ679763.1	Carassius
4	OQ564392.1	Carassius
5	NC_035976.1	Carassius
6	NC_015142.1	Carassius
7	NC_014177.1	Carassius
8	NC_010768.1	Carassius
9	NC_006580.1	Carassius
10	NC_006291.1	Carassius
11	NC_002079.1	Carassius
12	OK945938.1	Carassius
13	OK945937.1	Carassius
14	CM023252.1	Carassius
15	CM010491.1	Carassius
16	MF443771.1	Carassius
17	MF443770.1	Carassius
18	MF443769.1	Carassius
19	MF443768.1	Carassius
20	MF443767.1	Carassius
21	MF443766.1	Carassius
22	MF443765.1	Carassius
23	MF443764.1	Carassius
24	MF443763.1	Carassius
25	MF443762.1	Carassius
26	MF443761.1	Carassius
27	MF443760.1	Carassius
28	MF443759.1	Carassius
29	MF443758.1	Carassius
30	KX505166.1	Carassius
31	KX505165.1	Carassius
32	MF198464.1	Carassius
33	KX781320.1	Carassius
34	KX611160.1	Carassius
35	KU896992.1	Carassius
36	KU896991.1	Carassius
37	KU668580.1	Carassius
38	KU668579.1	Carassius
39	KU668578.1	Carassius
40	KU668577.1	Carassius
41	KU668576.1	Carassius
42	KU668575.1	Carassius
43	KU668574.1	Carassius
44	KU668573.1	Carassius
45	KU668572.1	Carassius
46	KU668571.1	Carassius
47	KU668570.1	Carassius
48	KU668569.1	Carassius
49	KU668568.1	Carassius
50	KU146528.1	Carassius
51	AP011236.1	Carassius
52	AY714387.1	Carassius
53	JF496198.1	Carassius
54	JF496197.1	Carassius
55	GU086397.1	Carassius
56	GU086396.1	Carassius
57	GU086395.1	Carassius
58	GU170401.1	Carassius
59	GU138989.1	Carassius
60	EF483931.1	Carassius
61	KT756205.1	Carassius
62	AP011239.1	Carassius
63	AP011237.1	Carassius
64	KJ874431.1	Carassius
65	KJ874430.1	Carassius
66	KJ874429.1	Carassius
67	KJ874428.1	Carassius
68	KM659025.1	Carassius
69	HQ875340.1	Carassius
70	KF147851.1	Carassius
71	KJ476998.1	Carassius
72	JN105355.1	Carassius
73	JQ911695.1	Carassius
74	AB111951.1	Carassius
75	AB045144.1	Carassius
76	AB006953.1	Carassius
77	PP059104.1	Cyprinus
78	OQ791281.1	Cyprinus
79	OP882632.1	Cyprinus
80	OQ871460.1	Cyprinus
81	OQ871459.1	Cyprinus
82	OQ658734.1	Cyprinus
83	NC_060825.1	Cyprinus
84	NC_028419.1	Cyprinus
85	NC_028418.1	Cyprinus
86	NC_028417.1	Cyprinus
87	NC_018366.1	Cyprinus
88	NC_018039.1	Cyprinus
89	NC_018037.1	Cyprinus
90	NC_018036.1	Cyprinus
91	NC_018035.1	Cyprinus
92	NC_001606.1	Cyprinus
93	OM736811.1	Cyprinus
94	OL840285.1	Cyprinus
95	OL840284.1	Cyprinus
96	OL840283.1	Cyprinus
97	OL840282.1	Cyprinus
98	OL840281.1	Cyprinus
99	OL840280.1	Cyprinus
100	OL699932.1	Cyprinus
101	OL693871.1	Cyprinus
102	OL457418.1	Cyprinus
103	MZ713633.1	Cyprinus
104	MW125611.1	Cyprinus
105	MN793139.1	Cyprinus
106	OM234682.1	Cyprinus
107	MN718675.1	Cyprinus
108	MK455071.1	Cyprinus
109	MN544290.1	Cyprinus
110	MW969691.1	Cyprinus
111	MG570435.1	Cyprinus
112	MG570427.1	Cyprinus
113	MG570426.1	Cyprinus
114	MT780875.1	Cyprinus
115	MK291479.1	Cyprinus
116	MK134852.1	Cyprinus
117	MK088487.1	Cyprinus
118	MH202953.1	Cyprinus
119	X61010.1	Cyprinus
120	KU373073.1	Cyprinus
121	KX710076.1	Cyprinus
122	AP017365.1	Cyprinus
123	AP017364.1	Cyprinus
124	AP017363.1	Cyprinus
125	KU146530.1	Cyprinus
126	KU146529.1	Cyprinus
127	AP011238.1	Cyprinus
128	JN105357.1	Cyprinus
129	JN105354.1	Cyprinus
130	JN105353.1	Cyprinus
131	JN105352.1	Cyprinus
132	KU301745.1	Cyprinus
133	KU159761.1	Cyprinus
134	KU050703.1	Cyprinus
135	KR869145.1	Cyprinus
136	KR869144.1	Cyprinus
137	KR869143.1	Cyprinus
138	KP013086.1	Cyprinus
139	KP993139.1	Cyprinus
140	KP993138.1	Cyprinus
141	KP993137.1	Cyprinus
142	KP993136.1	Cyprinus
143	KJ511883.1	Cyprinus
144	KJ511882.1	Cyprinus
145	KF856965.1	Cyprinus
146	KF932266.1	Cyprinus
147	KF856964.1	Cyprinus
148	JX188253.1	Cyprinus
149	JX188254.1	Cyprinus
150	AP009047.1	Cyprinus
151	OP745534.1	Sinocyclocheilus
152	NC_063975.1	Sinocyclocheilus
153	NC_072977.1	Sinocyclocheilus
154	NC_069226.1	Sinocyclocheilus
155	NC_063104.1	Sinocyclocheilus
156	NC_063103.1	Sinocyclocheilus
157	NC_060848.1	Sinocyclocheilus
158	NC_060737.1	Sinocyclocheilus
159	NC_058003.1	Sinocyclocheilus
160	NC_057312.1	Sinocyclocheilus
161	NC_056194.1	Sinocyclocheilus
162	NC_056143.1	Sinocyclocheilus
163	NC_044072.1	Sinocyclocheilus
164	NC_043910.1	Sinocyclocheilus
165	NC_039769.1	Sinocyclocheilus
166	NC_039594.1	Sinocyclocheilus
167	NC_037858.1	Sinocyclocheilus
168	NC_037197.1	Sinocyclocheilus
169	NC_032385.1	Sinocyclocheilus
170	NC_031382.1	Sinocyclocheilus
171	NC_027169.1	Sinocyclocheilus
172	NC_027168.1	Sinocyclocheilus
173	NC_023472.1	Sinocyclocheilus
174	NC_019995.1	Sinocyclocheilus
175	NC_013189.1	Sinocyclocheilus
176	NC_013186.1	Sinocyclocheilus
177	OQ319607.1	Sinocyclocheilus
178	OP429108.1	Sinocyclocheilus
179	OK505604.1	Sinocyclocheilus
180	MW675304.1	Sinocyclocheilus
181	MW553076.1	Sinocyclocheilus
182	MW548265.1	Sinocyclocheilus
183	MW548264.1	Sinocyclocheilus
184	MW548263.1	Sinocyclocheilus
185	MW548262.1	Sinocyclocheilus
186	OM001088.1	Sinocyclocheilus
187	MZ636515.1	Sinocyclocheilus
188	MZ636514.1	Sinocyclocheilus
189	MZ781221.1	Sinocyclocheilus
190	MT361976.1	Sinocyclocheilus
191	MT361975.1	Sinocyclocheilus
192	MW574480.1	Sinocyclocheilus
193	MW362289.1	Sinocyclocheilus
194	MW345239.1	Sinocyclocheilus
195	MW411665.1	Sinocyclocheilus
196	MN145877.1	Sinocyclocheilus
197	MK387704.1	Sinocyclocheilus
198	MH982229.1	Sinocyclocheilus
199	MH937706.1	Sinocyclocheilus
200	MG021442.1	Sinocyclocheilus
201	MG323567.1	Sinocyclocheilus
202	MG686610.1	Sinocyclocheilus
203	MF100765.1	Sinocyclocheilus
204	MG026730.1	Sinocyclocheilus
205	KX778473.1	Sinocyclocheilus
206	KX528071.1	Sinocyclocheilus
207	GQ148557.1	Sinocyclocheilus
208	FJ984568.1	Sinocyclocheilus
209	KR069120.1	Sinocyclocheilus
210	KR069119.1	Sinocyclocheilus
211	KF892542.1	Sinocyclocheilus
212	GU589570.1	Sinocyclocheilus
