	sequence_id	cluster_id
0	PP444710.1	Avastrovirus
1	PP444709.1	Avastrovirus
2	PP228886.1	Avastrovirus
3	PP228885.1	Avastrovirus
4	PP108251.1	Avastrovirus
5	OR965521.1	Avastrovirus
6	OR958817.1	Avastrovirus
7	OR906208.1	Avastrovirus
8	OR906207.1	Avastrovirus
9	OR924093.1	Avastrovirus
10	OR924092.1	Avastrovirus
11	OR924091.1	Avastrovirus
12	OR924090.1	Avastrovirus
13	OR924089.1	Avastrovirus
14	OR924088.1	Avastrovirus
15	OR924087.1	Avastrovirus
16	OR924086.1	Avastrovirus
17	OR907134.1	Avastrovirus
18	OR907133.1	Avastrovirus
19	OR907132.1	Avastrovirus
20	OR907131.1	Avastrovirus
21	OR907130.1	Avastrovirus
22	OR907129.1	Avastrovirus
23	OR907128.1	Avastrovirus
24	OR907127.1	Avastrovirus
25	OR907126.1	Avastrovirus
26	OR907125.1	Avastrovirus
27	OR902765.1	Avastrovirus
28	OR902764.1	Avastrovirus
29	OR902763.1	Avastrovirus
30	OR902762.1	Avastrovirus
31	OR902761.1	Avastrovirus
32	OR902760.1	Avastrovirus
33	OR902759.1	Avastrovirus
34	OP946449.1	Avastrovirus
35	OR571426.1	Avastrovirus
36	OR286522.1	Avastrovirus
37	OR286521.1	Avastrovirus
38	OR286520.1	Avastrovirus
39	OR545548.1	Avastrovirus
40	OR220065.1	Avastrovirus
41	OR220064.1	Avastrovirus
42	OR351273.1	Avastrovirus
43	OR211592.1	Avastrovirus
44	MW826483.1	Avastrovirus
45	MW826482.1	Avastrovirus
46	OQ870553.1	Avastrovirus
47	OQ805853.1	Avastrovirus
48	OQ805852.1	Avastrovirus
49	OQ787033.1	Avastrovirus
50	ON400505.1	Avastrovirus
51	OQ909424.1	Avastrovirus
52	ON382522.1	Avastrovirus
53	ON382521.1	Avastrovirus
54	ON382520.1	Avastrovirus
55	ON382519.1	Avastrovirus
56	OQ076692.1	Avastrovirus
57	OQ685946.1	Avastrovirus
58	OQ685945.1	Avastrovirus
59	OP764611.1	Avastrovirus
60	OP776630.1	Avastrovirus
61	OP776629.1	Avastrovirus
62	OP272633.1	Avastrovirus
63	OP169001.1	Avastrovirus
64	OP179660.1	Avastrovirus
65	OP621341.1	Avastrovirus
66	OP621340.1	Avastrovirus
67	OP621339.1	Avastrovirus
68	OP621338.1	Avastrovirus
69	OP621337.1	Avastrovirus
70	OP621336.1	Avastrovirus
71	OP621335.1	Avastrovirus
72	OP621334.1	Avastrovirus
73	OP621333.1	Avastrovirus
74	OP621332.1	Avastrovirus
75	OP621331.1	Avastrovirus
76	OP621330.1	Avastrovirus
77	OP484924.1	Avastrovirus
78	OP484923.1	Avastrovirus
79	ON954324.1	Avastrovirus
80	OM469245.1	Avastrovirus
81	OM469244.1	Avastrovirus
82	OM469243.1	Avastrovirus
83	OM469242.1	Avastrovirus
84	OM469240.1	Avastrovirus
85	OM469239.1	Avastrovirus
86	OM469238.1	Avastrovirus
87	OM469237.1	Avastrovirus
88	OM469236.1	Avastrovirus
89	OM469235.1	Avastrovirus
90	OM469234.1	Avastrovirus
91	OM469233.1	Avastrovirus
92	OM469232.1	Avastrovirus
93	OM469231.1	Avastrovirus
94	OM469230.1	Avastrovirus
95	OM469229.1	Avastrovirus
96	ON971223.1	Avastrovirus
97	OP556137.1	Avastrovirus
98	ON376722.1	Avastrovirus
99	ON205965.1	Avastrovirus
100	OM811460.1	Avastrovirus
101	OM811459.1	Avastrovirus
102	OM811458.1	Avastrovirus
103	ON156528.1	Avastrovirus
104	ON964512.1	Avastrovirus
105	ON049473.1	Avastrovirus
106	ON049472.1	Avastrovirus
107	ON049471.1	Avastrovirus
108	ON049470.1	Avastrovirus
109	ON049469.1	Avastrovirus
110	ON049468.1	Avastrovirus
111	ON049467.1	Avastrovirus
112	ON745304.1	Avastrovirus
113	OM937013.1	Avastrovirus
114	OL762473.1	Avastrovirus
115	OM066895.1	Avastrovirus
116	OM066894.1	Avastrovirus
117	OM066893.1	Avastrovirus
118	OM066892.1	Avastrovirus
119	OL853843.1	Avastrovirus
120	OM719749.1	Avastrovirus
121	OM100603.1	Avastrovirus
122	OM100602.1	Avastrovirus
123	OM100601.1	Avastrovirus
124	OM100600.1	Avastrovirus
125	OM100599.1	Avastrovirus
126	OM100598.1	Avastrovirus
127	OM100597.1	Avastrovirus
128	OM100596.1	Avastrovirus
129	OM100595.1	Avastrovirus
130	OM100594.1	Avastrovirus
131	OM100593.1	Avastrovirus
132	OM100592.1	Avastrovirus
133	OM100591.1	Avastrovirus
134	OM100590.1	Avastrovirus
135	OM455389.1	Avastrovirus
136	OM455388.1	Avastrovirus
137	OM264914.1	Avastrovirus
138	OM264913.1	Avastrovirus
139	OM264912.1	Avastrovirus
140	OM264911.1	Avastrovirus
141	OM200916.1	Avastrovirus
142	OL982615.1	Avastrovirus
143	OL982614.1	Avastrovirus
144	OL982613.1	Avastrovirus
